uid,domainID,siteID,namedLocation,date,eventID,sampleDepth,waterTemp,specificConductance,dissolvedOxygen,dissolvedOxygenSaturation,dataQF,publicationDate,release
e162dc8c-7a28-49c7-b2a9-c684dc2f9273,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,0.5,31.9,56.4,,78,,20220107T003012Z,RELEASE-2022
1a61603a-a286-4962-9d3a-c1ac93ae2b67,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,3,32,56.8,,80,,20220107T003012Z,RELEASE-2022
d5975884-18cb-46cf-9335-1f932d195230,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,2.5,32,56.8,,83,,20220107T003012Z,RELEASE-2022
55eeac03-dd3a-4e4d-b1d8-6f7fc0f6a5c1,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,3.5,32,56.8,,70,,20220107T003012Z,RELEASE-2022
2bc98cd4-f98f-46fd-8c6a-f5488f605347,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,1,32,56.7,,75,,20220107T003012Z,RELEASE-2022
7621c4aa-429c-4bf4-bd22-8f4fb2f6c84d,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,1.5,32,56.8,,84,,20220107T003012Z,RELEASE-2022
8f5fe060-5397-40c4-ae3e-56310686b65b,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,4,31.9,56.8,,71,,20220107T003012Z,RELEASE-2022
830fc533-ed2d-473b-960b-d464fc4b2f63,D03,BARC,BARC.AOS.buoy.c0,2014-07-30T16:00Z,BARC.c0.20140730,4.5,31.9,56.8,,74,,20220107T003012Z,RELEASE-2022
5abc9e78-f5c8-4774-8a21-1d298a248a11,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,4,31.8,56.6,,84.4,,20220107T003012Z,RELEASE-2022
ec965975-1a5e-4512-8723-36afec55a54c,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,3.5,31.8,56.6,,89.6,,20220107T003012Z,RELEASE-2022
