uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF,publicationDate,release
1e446d6c-b312-4121-93e9-32c32214c79b,D05,CRAM,CRAM.AOS.buoy.c1,2016-08-09T18:20Z,CRAM.C1.20160809,,,CRAM.C1.20160809.POM.2,,,CRAM.C1.20160809.POM.1,,2016-08-09T22:00Z,200,200,,20211221T231147Z,RELEASE-2022
71233fcf-c723-4a6b-8497-04eccc2e5b92,D05,CRAM,CRAM.AOS.buoy.c2,2016-08-09T19:30Z,CRAM.C2.20160809,,,CRAM.C2.20160809.POM.2,,,CRAM.C2.20160809.POM.1,,2016-08-09T23:00Z,200,200,,20211221T231147Z,RELEASE-2022
74403495-edd1-4b3b-a450-36028969991d,D05,CRAM,CRAM.AOS.littoral2,2016-09-07T14:50Z,CRAM.OT.20160907,,,CRAM.OT.20160907.POM.2,,,CRAM.OT.20160907.POM.1,,2016-09-07T19:00Z,300,300,,20211221T195820Z,RELEASE-2022
705fd693-2fa1-4bee-a5a6-84e1c30a59f9,D05,CRAM,CRAM.AOS.littoral1,2016-09-07T15:20Z,CRAM.IN.20160907,,,CRAM.IN.20160907.POM.2,,,CRAM.IN.20160907.POM.1,,2016-09-07T19:10Z,300,300,,20211221T195820Z,RELEASE-2022
e5680632-3930-410c-854f-68009526564b,D05,CRAM,CRAM.AOS.buoy.c1,2016-09-07T16:15Z,CRAM.C1.20160907,,,CRAM.C1.20160907.POM.2,,,CRAM.C1.20160907.POM.1,,2016-09-07T19:45Z,300,300,,20211221T195820Z,RELEASE-2022
2112b9da-a0b8-47e8-83a4-b743a6c521ad,D05,CRAM,CRAM.AOS.buoy.c2,2016-09-07T16:45Z,CRAM.C2.20160907,,,CRAM.C2.20160907.POM.2,,,CRAM.C2.20160907.POM.1,,2016-09-07T20:45Z,200,200,,20211221T195820Z,RELEASE-2022
b52ea888-2d43-4a79-8293-ce7b7af41749,D05,CRAM,CRAM.AOS.littoral2,2016-09-27T15:57Z,CRAM.OT.20160927,,,CRAM.OT.20160927.POM.2,,,CRAM.OT.20160927.POM.1,,2016-09-27T19:20Z,301,300,,20211221T195820Z,RELEASE-2022
5dc50aa6-cc29-4971-8c3c-0928c72c2cbc,D05,CRAM,CRAM.AOS.littoral1,2016-09-27T16:30Z,CRAM.IN.20160927,,,CRAM.IN.20160927.POM.2,,,CRAM.IN.20160927.POM.1,,2016-09-27T19:20Z,300,300,,20211221T195820Z,RELEASE-2022
635000a1-f5e1-46da-8929-252f601f14f4,D05,CRAM,CRAM.AOS.buoy.c1,2016-09-27T17:20Z,CRAM.C1.20160927,,,CRAM.C1.20160927.POM.2,,,CRAM.C1.20160927.POM.1,,2016-09-27T20:40Z,250,250,,20211221T195820Z,RELEASE-2022
3ea44b1f-1272-4c87-955b-4813531736f3,D05,CRAM,CRAM.AOS.buoy.c2,2016-09-27T17:35Z,CRAM.C2.20160927,,,CRAM.C2.20160927.POM.2,,,CRAM.C2.20160927.POM.1,,2016-09-27T21:20Z,150,150,,20211221T195820Z,RELEASE-2022
77d2e1f6-b937-46bb-a529-b94117703895,D05,CRAM,CRAM.AOS.littoral2,2016-10-18T14:15Z,CRAM.OT.20161018,,,CRAM.OT.20161018.POM.2,,,CRAM.OT.20161018.POM.1,,2016-10-18T16:35Z,300,300,,20211222T040455Z,RELEASE-2022
8271c15d-7ea1-4331-bb6a-d5705bbeb9dc,D05,CRAM,CRAM.AOS.littoral1,2016-10-18T14:35Z,CRAM.IN.20161018,,,CRAM.IN.20161018.POM.2,,,CRAM.IN.20161018.POM.1,,2016-10-18T18:00Z,300,300,,20211222T040455Z,RELEASE-2022
e5e97cb5-3b8d-4aae-9f99-eb0b3aac2844,D05,CRAM,CRAM.AOS.buoy.c1,2016-10-18T15:20Z,CRAM.C1.20161018,,,CRAM.C1.20161018.POM.2,,,CRAM.C1.20161018.POM.1,,2016-10-18T19:10Z,250,250,,20211222T040455Z,RELEASE-2022
09194602-0f9c-4176-95da-8e24943cc335,D05,CRAM,CRAM.AOS.buoy.c2,2016-10-18T15:45Z,CRAM.C2.20161018,,,CRAM.C2.20161018.POM.2,,,CRAM.C2.20161018.POM.1,,2016-10-18T19:50Z,150,150,,20211222T040455Z,RELEASE-2022
6b206b3b-9e08-4bdf-8396-28a07bb28488,D05,CRAM,CRAM.AOS.littoral2,2016-11-08T15:55Z,CRAM.OT.20161108,,,CRAM.OT.20161108.POM.2,,,CRAM.OT.20161108.POM.1,,2016-11-08T18:55Z,250,250,,20211221T224402Z,RELEASE-2022
442d8459-84a4-4b70-8cc8-73541da229bd,D05,CRAM,CRAM.AOS.littoral1,2016-11-08T16:20Z,CRAM.IN.20161108,,,CRAM.IN.20161108.POM.2,,,CRAM.IN.20161108.POM.1,,2016-11-08T19:25Z,250,250,,20211221T224402Z,RELEASE-2022
c3995152-c7e4-45ea-8383-906fbb67b5a6,D05,CRAM,CRAM.AOS.buoy.c1,2016-11-08T17:15Z,CRAM.C1.20161108,,,CRAM.C1.20161108.POM.2,,,CRAM.C1.20161108.POM.1,,2016-11-08T19:50Z,200,200,,20211221T224402Z,RELEASE-2022
61eb532c-4e3d-4375-8f4c-349fabb3ea48,D05,CRAM,CRAM.AOS.buoy.c2,2016-11-08T17:45Z,CRAM.C2.20161108,,,CRAM.C2.20161108.POM.2,,,CRAM.C2.20161108.POM.1,,2016-11-08T20:15Z,200,200,,20211221T224402Z,RELEASE-2022
c1a0ea59-deba-40a7-82a9-cea084891cce,D05,CRAM,CRAM.AOS.littoral2,2016-11-21T15:10Z,CRAM.OT.20161121,,,CRAM.OT.20161121.POM.2,,,CRAM.OT.20161121.POM.1,,2016-11-21T17:45Z,350,350,,20211221T224402Z,RELEASE-2022
fe5a7fe1-3e89-4b71-bbcf-cfb626eab18f,D05,CRAM,CRAM.AOS.littoral1,2016-11-21T15:35Z,CRAM.IN.20161121,,,CRAM.IN.20161121.POM.2,,,CRAM.IN.20161121.POM.1,,2016-11-21T18:45Z,200,200,,20211221T224402Z,RELEASE-2022
378ee07f-d38d-4766-b035-dbaabb9fa443,D05,CRAM,CRAM.AOS.buoy.c0,2016-11-21T16:15Z,CRAM.C0.20161121,,,CRAM.C0.20161121.POM.2,,,CRAM.C0.20161121.POM.1,,2016-11-21T19:15Z,200,200,,20211221T224402Z,RELEASE-2022
d3b1146e-3229-426e-a484-e3a30e42ab7b,D05,CRAM,CRAM.AOS.buoy.c0,2017-02-07T17:15Z,CRAM.C0.20170207,,,CRAM.C0.20170207.POM.2,,,CRAM.C0.20170207.POM.1,,2017-02-07T19:20Z,300,300,,20211222T005730Z,RELEASE-2022
1514c3f8-2771-4182-a288-66e0b094b565,D05,CRAM,CRAM.AOS.buoy.c0,2017-03-08T15:30Z,CRAM.C0.20170308,,,CRAM.C0.20170308.POM.2,,,CRAM.C0.20170308.POM.1,,2017-03-08T17:15Z,400,400,,20211221T233124Z,RELEASE-2022
6d4616b6-69a1-43b0-9d2e-ada0090c6d42,D05,CRAM,CRAM.AOS.littoral2,2017-04-18T14:20Z,CRAM.OT.20170418,,,CRAM.OT.20170418.POM.2,,,CRAM.OT.20170418.POM.1,,2017-04-18T19:27Z,200,200,,20211222T041812Z,RELEASE-2022
08c19575-6779-41a3-8a67-890ab6ab4a27,D05,CRAM,CRAM.AOS.littoral1,2017-04-18T14:55Z,CRAM.IN.20170418,,,CRAM.IN.20170418.POM.2,,,CRAM.IN.20170418.POM.1,,2017-04-18T19:53Z,200,200,,20211222T041812Z,RELEASE-2022
e1e38ff4-5721-4117-8590-8e9dee84b3ed,D05,CRAM,CRAM.AOS.buoy.c1,2017-04-18T15:45Z,CRAM.C1.20170418,,,CRAM.C1.20170418.POM.2,,,CRAM.C1.20170418.POM.1,,2017-04-18T20:08Z,200,200,,20211222T041812Z,RELEASE-2022
6e613000-e12c-4e9c-8093-31f26e254794,D05,CRAM,CRAM.AOS.buoy.c2,2017-04-18T16:30Z,CRAM.C2.20170418,,,CRAM.C2.20170418.POM.2,,,CRAM.C2.20170418.POM.1,,2017-04-18T20:30Z,150,150,,20211222T041812Z,RELEASE-2022
1e7e8c22-18a8-4c91-8721-f10e22dfbcb5,D05,CRAM,CRAM.AOS.littoral2,2017-05-02T14:55Z,CRAM.OT.20170502,,Cold chain broken,CRAM.OT.20170502.POM.2,,Cold chain broken,CRAM.OT.20170502.POM.1,,2017-05-02T18:26Z,150,150,,20211222T015857Z,RELEASE-2022
028ba7f6-eff0-4c61-bb0f-973f2dd2e4fa,D05,CRAM,CRAM.AOS.littoral1,2017-05-02T15:25Z,CRAM.IN.20170502,,Cold chain broken,CRAM.IN.20170502.POM.2,,Cold chain broken,CRAM.IN.20170502.POM.1,,2017-05-02T18:43Z,150,150,,20211222T015857Z,RELEASE-2022
e6f09895-cd34-41f1-aa90-3ffeaa8736d8,D05,CRAM,CRAM.AOS.buoy.c1,2017-05-02T16:13Z,CRAM.C1.20170502,,Cold chain broken,CRAM.C1.20170502.POM.2,,Cold chain broken,CRAM.C1.20170502.POM.1,,2017-05-02T19:20Z,150,150,,20211222T015857Z,RELEASE-2022
af5ca8fb-3bea-4af9-b1ec-b17c2545211d,D05,CRAM,CRAM.AOS.buoy.c2,2017-05-02T16:27Z,CRAM.C2.20170502,,Cold chain broken,CRAM.C2.20170502.POM.2,,Cold chain broken,CRAM.C2.20170502.POM.1,,2017-05-02T19:19Z,150,150,,20211222T015857Z,RELEASE-2022
a0ebfd7c-6d29-4821-bd3d-c18c924c8982,D05,CRAM,CRAM.AOS.littoral2,2017-06-06T14:38Z,CRAM.OT.20170606,,Sample condition ok,,,Cold chain broken,CRAM.OT.20170606.POM.1,,2017-06-06T18:06Z,200,,,20211222T004758Z,RELEASE-2022
1ff7e67d-faaf-4315-9028-b0440a26c023,D05,CRAM,CRAM.AOS.littoral1,2017-06-06T15:03Z,CRAM.IN.20170606,,Sample condition ok,,,Cold chain broken,CRAM.IN.20170606.POM.1,,2017-06-06T18:21Z,200,,,20211222T004758Z,RELEASE-2022
53406541-4e3a-4069-84cb-2aa994e125be,D05,CRAM,CRAM.AOS.buoy.c1,2017-06-06T15:34Z,CRAM.C1.20170606,,Sample condition ok,,,Cold chain broken,CRAM.C1.20170606.POM.1,,2017-06-06T18:22Z,200,,,20211222T004758Z,RELEASE-2022
6158245a-a16d-4498-b7c2-18cbd50f07bf,D05,CRAM,CRAM.AOS.buoy.c2,2017-06-06T16:21Z,CRAM.C2.20170606,,Sample condition ok,,,Cold chain broken,CRAM.C2.20170606.POM.1,,2017-06-06T18:40Z,150,,,20211222T004758Z,RELEASE-2022
ca16709b-7939-4333-93de-286418749d44,D05,CRAM,CRAM.AOS.littoral2,2017-07-11T14:41Z,CRAM.OT.20170711,,Sample condition ok,,,Sample condition ok,CRAM.OT.20170711.POM.1,,2017-07-11T19:39Z,300,,,20211222T040035Z,RELEASE-2022
ccebb0a1-13f8-4275-8ce7-8a48650b2411,D05,CRAM,CRAM.AOS.littoral1,2017-07-11T15:11Z,CRAM.IN.20170711,,Sample condition ok,,,Sample condition ok,CRAM.IN.20170711.POM.1,,2017-07-11T20:46Z,250,,,20211222T040035Z,RELEASE-2022
bb6453b7-b57f-4fb3-8b05-13cae1004084,D05,CRAM,CRAM.AOS.buoy.c1,2017-07-11T16:22Z,CRAM.C1.20170711,,Sample condition ok,,,Sample condition ok,CRAM.C1.20170711.POM.1,,2017-07-11T20:49Z,250,,,20211222T040035Z,RELEASE-2022
6749c589-d381-452b-872f-0987004c67ad,D05,CRAM,CRAM.AOS.buoy.c2,2017-07-11T16:23Z,CRAM.C2.20170711,,Sample condition ok,,,Sample condition ok,CRAM.C2.20170711.POM.1,,2017-07-11T21:35Z,200,,,20211222T040035Z,RELEASE-2022
43b96e5b-3f0d-43b6-ab91-ad3d894911f4,D05,CRAM,CRAM.AOS.littoral2,2017-08-01T14:16Z,CRAM.OT.20170801,,Sample condition ok,,,Sample condition ok,CRAM.OT.20170801.POM.1,,2017-08-01T17:53Z,250,,,20211222T032743Z,RELEASE-2022
d9c6cb70-4be4-4691-907c-a864887c1289,D05,CRAM,CRAM.AOS.littoral1,2017-08-01T14:58Z,CRAM.IN.20170801,,Sample condition ok,,,Sample condition ok,CRAM.IN.20170801.POM.1,,2017-08-01T18:48Z,250,,,20211222T032743Z,RELEASE-2022
2dfd7042-9d3e-45a1-9acd-232eb8e0dc24,D05,CRAM,CRAM.AOS.buoy.c1,2017-08-01T15:43Z,CRAM.C1.20170801,,Sample condition ok,,,Sample condition ok,CRAM.C1.20170801.POM.1,,2017-08-01T17:00Z,200,,,20211222T032743Z,RELEASE-2022
245a2a9e-6ac1-4e88-bbe1-76b46e48a822,D05,CRAM,CRAM.AOS.buoy.c2,2017-08-01T15:59Z,CRAM.C2.20170801,,Sample condition ok,,,Sample condition ok,CRAM.C2.20170801.POM.1,,2017-08-01T19:25Z,250,,,20211222T032743Z,RELEASE-2022
ac1aba8d-92d0-4a10-b85e-6e4eb677843a,D05,CRAM,CRAM.AOS.littoral2,2017-08-29T14:25Z,CRAM.OT.20170829,,Sample condition ok,,,Sample condition ok,CRAM.OT.20170829.POM.1,,2017-08-29T17:50Z,200,,,20211222T032743Z,RELEASE-2022
9c36af2e-de4f-489e-9d91-6ec544aa3dba,D05,CRAM,CRAM.AOS.littoral1,2017-08-29T14:42Z,CRAM.IN.20170829,,Sample condition ok,,,Sample condition ok,CRAM.IN.20170829.POM.1,,2017-08-29T18:53Z,200,,,20211222T032743Z,RELEASE-2022
ce45e900-1cb5-4267-b8de-d6571f37b9d3,D05,CRAM,CRAM.AOS.buoy.c1,2017-08-29T15:25Z,CRAM.C1.20170829,,Sample condition ok,,,Sample condition ok,CRAM.C1.20170829.POM.1,,2017-08-29T19:55Z,200,,,20211222T032743Z,RELEASE-2022
77ed86cd-cb2e-443b-87f9-41a3d77b2e43,D05,CRAM,CRAM.AOS.buoy.c2,2017-08-29T15:40Z,CRAM.C2.20170829,,Sample condition ok,,,Sample condition ok,CRAM.C2.20170829.POM.1,,2017-08-29T21:16Z,200,,,20211222T032743Z,RELEASE-2022
3bd3496d-8697-4e22-8752-69a668dcc9c8,D05,CRAM,CRAM.AOS.littoral2,2017-10-03T14:40Z,CRAM.OT.20171003,,Sample condition ok,"",,Sample condition ok,CRAM.OT.20171003.POM.1,,2017-10-03T18:37Z,200,,,20211221T214906Z,RELEASE-2022
284a6d7c-8b77-4535-af8f-7b8faf7aebeb,D05,CRAM,CRAM.AOS.littoral1,2017-10-03T15:01Z,CRAM.IN.20171003,,Sample condition ok,"",,Sample condition ok,CRAM.IN.20171003.POM.1,,2017-10-03T19:40Z,200,,,20211221T214906Z,RELEASE-2022
2a81102d-72d0-4fe0-af09-41c6a660126c,D05,CRAM,CRAM.AOS.buoy.c1,2017-10-03T16:11Z,CRAM.C1.20171003,,Sample condition ok,"",,Sample condition ok,CRAM.C1.20171003.POM.1,,2017-10-03T19:40Z,200,,,20211221T214906Z,RELEASE-2022
fb2ac60d-7656-43a6-8a14-25b269f63570,D05,CRAM,CRAM.AOS.buoy.c2,2017-10-03T16:55Z,CRAM.C2.20171003,,Sample condition ok,"",,Sample condition ok,CRAM.C2.20171003.POM.1,,"",250,,,20211221T214906Z,RELEASE-2022
201ff4d8-0d48-4b2a-9ba5-c41cc29c5d7c,D05,CRAM,CRAM.AOS.littoral2,2017-10-16T14:49Z,CRAM.OT.20171016,,Sample condition ok,CRAM.OT.20171016.POM.2,,Sample condition ok,CRAM.OT.20171016.POM.1,,2017-10-16T18:23Z,200,200,,20211221T214906Z,RELEASE-2022
d2064720-e03a-43a3-aef5-5b29be0fecda,D05,CRAM,CRAM.AOS.littoral1,2017-10-16T15:32Z,CRAM.IN.20171016,,Sample condition ok,CRAM.IN.20171016.POM.2,,Sample condition ok,CRAM.IN.20171016.POM.1,,2017-10-16T19:01Z,200,200,,20211221T214906Z,RELEASE-2022
56f1c8c0-6d5b-4879-9b7b-866059cd8514,D05,CRAM,CRAM.AOS.buoy.c1,2017-10-16T16:02Z,CRAM.C1.20171016,,Sample condition ok,CRAM.C1.20171016.POM.2,,Sample condition ok,CRAM.C1.20171016.POM.1,,2017-10-16T20:39Z,200,200,,20211221T214906Z,RELEASE-2022
