uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleCondition,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,publicationDate,release
1c43440e-3901-47f8-b6ea-44a62fef50de,D18,TOOK,TOOK.AOS.littoral1,2017-08-01T21:45Z,TOOK.IN.20170801,Sample condition ok,TOOK.IN.20170801,1,2017-08-01T19:20Z,2017-08-01T19:20Z,700,,Sample condition ok,TOOK.IN.20170801.FIL,,,,,Sample condition ok,TOOK.IN.20170801.RAW,,,,,Sample condition ok,TOOK.IN.20170801.PCN,,,20211222T042338Z,RELEASE-2022
7c9ee044-f2a0-4888-a7d0-78d92ed870e5,D18,TOOK,TOOK.AOS.buoy.c0,2017-09-06T00:00Z,TOOK.C0.20170905,Sample condition ok,TOOK.C0.20170905,1,2017-09-06T01:30Z,2017-09-06T01:30Z,650,,Sample condition ok,TOOK.C0.20170905.FIL,,,,,Sample condition ok,TOOK.C0.20170905.RAW,,,,,Sample condition ok,TOOK.C0.20170905.PCN,,,20211222T041304Z,RELEASE-2022
da14541b-dbb6-49b6-86c4-a99a68f4b7ef,D18,TOOK,TOOK.AOS.littoral2,2017-09-06T00:11Z,TOOK.OT.20170905,Sample condition ok,TOOK.OT.20170905,1,2017-09-06T03:07Z,2017-09-06T03:07Z,650,,Sample condition ok,TOOK.OT.20170905.FIL,,,,,Sample condition ok,TOOK.OT.20170905.RAW,,,,,Sample condition ok,TOOK.OT.20170905.PCN,,,20211222T041304Z,RELEASE-2022
512f2943-d1d3-47ee-9470-e355961235cd,D18,TOOK,TOOK.AOS.littoral1,2017-09-06T07:45Z,TOOK.IN.20170905,Sample condition ok,TOOK.IN.20170905,1,2017-09-05T22:15Z,2017-09-05T22:29Z,650,,Sample condition ok,TOOK.IN.20170905.FIL,,,,,Sample condition ok,TOOK.IN.20170905.RAW,,,,,Sample condition ok,TOOK.IN.20170905.PCN,,,20211222T041304Z,RELEASE-2022
922f63f7-ef1f-4bca-9ba8-86c02d4dcbb2,D18,TOOK,TOOK.AOS.buoy.c0,2017-11-07T19:30Z,TOOK.C0.20171107,Sample condition ok,TOOK.C0.20171107,1,2017-11-07T21:00Z,2017-11-07T21:00Z,750,,Sample condition ok,TOOK.C0.20171107.FIL,,,,,Sample condition ok,TOOK.C0.20171107.RAW,,,,,Sample condition ok,TOOK.C0.20171107.PCN,,,20211221T210153Z,RELEASE-2022
0f859a92-03e7-4e59-8438-eec733de73be,D18,TOOK,TOOK.AOS.buoy.c0,2017-12-05T20:00Z,TOOK.C0.20171205,Sample condition ok,TOOK.C0.20171205,1,2017-12-05T20:38Z,2017-12-05T20:38Z,750,,Sample condition ok,TOOK.C0.20171205.FIL,,,,,Sample condition ok,TOOK.C0.20171205.RAW,,,,,Sample condition ok,TOOK.C0.20171205.PCN,,,20211221T203354Z,RELEASE-2022
a688b4c2-5937-48c9-8e9b-51b9a1e6559a,D18,TOOK,TOOK.AOS.buoy.c0,2018-01-09T20:01Z,TOOK.C0.20180109,Sample condition ok,TOOK.C0.20180109,1,2018-01-09T21:26Z,2018-01-09T21:26Z,750,,Sample condition ok,TOOK.C0.20180109.FIL,,,,,Sample condition ok,TOOK.C0.20180109.RAW,,,,,Sample condition ok,TOOK.C0.20180109.PCN,,,20211221T225606Z,RELEASE-2022
4de27bc9-dfe5-4c63-850a-32d96f0cea8d,D18,TOOK,TOOK.AOS.buoy.c0,2018-02-13T19:20Z,TOOK.C0.20180213,Sample condition ok,TOOK.C0.20180213,1,2018-02-13T20:15Z,2018-02-13T21:04Z,750,,Sample condition ok,TOOK.C0.20180213.FIL,,,,,Sample condition ok,TOOK.C0.20180213.RAW,,,,,Sample condition ok,TOOK.C0.20180213.PCN,,,20211222T013404Z,RELEASE-2022
488b944f-ec11-4775-a95e-c2d228baad01,D18,TOOK,TOOK.AOS.buoy.c0,2018-03-06T19:30Z,TOOK.C0.20180306,Sample condition ok,TOOK.C0.20180306,1,2018-03-06T19:30Z,2018-03-06T23:30Z,750,,Sample condition ok,TOOK.C0.20180306.FIL,,,,,Sample condition ok,TOOK.C0.20180306.RAW,,,,,Sample condition ok,TOOK.C0.20180306.PCN,,,20211221T221645Z,RELEASE-2022
17feca56-24a5-45db-a5a8-a488ab78e89d,D18,TOOK,TOOK.AOS.buoy.c0,2018-03-06T19:30Z,TOOK.C0.20180306,Sample condition ok,TOOK.C0.20180306.2,2,2018-03-06T19:30Z,2018-03-06T23:30Z,750,,Sample condition ok,TOOK.C0.20180306.FIL.2,,,,,Sample condition ok,TOOK.C0.20180306.RAW.2,,,,,Sample condition ok,TOOK.C0.20180306.PCN.2,,,20211221T221645Z,RELEASE-2022
7bd2a944-4dd9-440c-963c-dd0597fc4108,D18,TOOK,TOOK.AOS.buoy.c0,2018-03-06T19:30Z,TOOK.C0.20180306,Sample condition ok,TOOK.C0.20180306.3,3,2018-03-06T19:30Z,2018-03-06T23:30Z,750,,Sample condition ok,TOOK.C0.20180306.FIL.3,,,,,Sample condition ok,TOOK.C0.20180306.RAW.3,,,,,Sample condition ok,TOOK.C0.20180306.PCN.3,,,20211221T221645Z,RELEASE-2022
bbd44f02-f8b2-4a21-b197-77b3b2c356c6,D18,TOOK,TOOK.AOS.buoy.c0,2018-04-03T18:12Z,TOOK.C0.20180403,Sample condition ok,TOOK.C0.20180403,1,2018-04-04T07:41Z,2018-04-04T07:41Z,750,,Sample condition ok,TOOK.C0.20180403.FIL,A00000003189,,,,Sample condition ok,TOOK.C0.20180403.RAW,A00000015555,,,,Sample condition ok,TOOK.C0.20180403.PCN,A00000030253,,20211222T001656Z,RELEASE-2022
10595154-c7ec-47a5-9e13-5551162da3e3,D18,TOOK,TOOK.AOS.buoy.c0,2018-05-01T22:04Z,TOOK.C0.20180501,Sample condition ok,TOOK.C0.20180501,1,2018-05-01T23:46Z,2018-05-01T23:46Z,750,,Sample condition ok,TOOK.C0.20180501.FIL,A00000027288,,,,Sample condition ok,TOOK.C0.20180501.RAW,A00000027374,,,,Sample condition ok,TOOK.C0.20180501.PCN,A00000030258,,20211222T000254Z,RELEASE-2022
cc344f52-261b-48a2-9906-5123f3a6f666,D18,TOOK,TOOK.AOS.buoy.c0,2018-06-05T19:20Z,TOOK.C0.20180605,Sample condition ok,TOOK.C0.20180605,1,2018-06-05T23:17Z,2018-06-05T23:17Z,750,,Sample condition ok,TOOK.C0.20180605.FIL,A00000027277,,,,Sample condition ok,TOOK.C0.20180605.RAW,A00000027396,,,,Sample condition ok,TOOK.C0.20180605.PCN,A00000030293,,20211222T040412Z,RELEASE-2022
0cf55334-f219-46b3-9b90-f0e9a1ae12b2,D18,TOOK,TOOK.AOS.littoral2,2018-06-05T22:22Z,TOOK.OT.20180605,Sample condition ok,TOOK.OT.20180605,1,2018-06-05T23:14Z,"",400,,Sample condition ok,TOOK.OT.20180605.FIL,A00000027280,,,,Sample condition ok,TOOK.OT.20180605.RAW,A00000027399,,,,Sample condition ok,TOOK.OT.20180605.PCN,A00000030296,,20211222T040412Z,RELEASE-2022
3bd59357-6105-436e-85f4-2d7740fa5f20,D18,TOOK,TOOK.AOS.littoral1,2018-06-05T22:59Z,TOOK.IN.20180605,Sample condition ok,TOOK.IN.20180605,1,2018-06-05T23:07Z,2018-06-05T23:07Z,500,,Sample condition ok,TOOK.IN.20180605.FIL,A00000027281,,,,Sample condition ok,TOOK.IN.20180605.RAW,A00000027402,,,,Sample condition ok,TOOK.IN.20180605.PCN,A00000030374,,20211222T040412Z,RELEASE-2022
9054c443-4c2f-4dca-be58-362f5e1964de,D18,TOOK,TOOK.AOS.buoy.c1,2018-07-03T18:06Z,TOOK.C1.20180703,Sample condition ok,TOOK.C1.20180703,1,2018-07-03T21:46Z,2018-07-03T21:46Z,500,,Sample condition ok,TOOK.C1.20180703.FIL,A00000027318,,,,Sample condition ok,TOOK.C1.20180703.RAW,A00000027372,,,,Sample condition ok,TOOK.C1.20180703.PCN,A00000029995,,20211222T034603Z,RELEASE-2022
99244956-500c-41cc-adb4-efd2c8049421,D18,TOOK,TOOK.AOS.buoy.c2,2018-07-03T18:40Z,TOOK.C2.20180703,Sample condition ok,TOOK.C2.20180703,1,2018-07-03T21:49Z,2018-07-03T21:49Z,500,,Sample condition ok,TOOK.C2.20180703.FIL,A00000027316,,,,Sample condition ok,TOOK.C2.20180703.RAW,A00000027370,,,,Sample condition ok,TOOK.C2.20180703.PCN,A00000029984,,20211222T034603Z,RELEASE-2022
6fb20eb2-8cb2-48df-b89e-da4ce29505e8,D18,TOOK,TOOK.AOS.littoral2,2018-07-03T19:22Z,TOOK.OT.20180703,Sample condition ok,TOOK.OT.20180703,1,2018-07-03T21:55Z,2018-07-03T21:55Z,500,,Sample condition ok,TOOK.OT.20180703.FIL,A00000027275,,,,Sample condition ok,TOOK.OT.20180703.RAW,A00000027398,,,,Sample condition ok,TOOK.OT.20180703.PCN,A00000029985,,20211222T034603Z,RELEASE-2022
7b2e1632-7c86-416b-9c0b-cd89cab6d389,D18,TOOK,TOOK.AOS.littoral1,2018-07-03T19:51Z,TOOK.IN.20180703,Sample condition ok,TOOK.IN.20180703,1,2018-07-03T21:52Z,2018-07-03T21:52Z,600,,Sample condition ok,TOOK.IN.20180703.FIL,A00000027273,,,,Sample condition ok,TOOK.IN.20180703.RAW,A00000027404,,,,Sample condition ok,TOOK.IN.20180703.PCN,A00000029991,,20211222T034603Z,RELEASE-2022
