OrganizationFormalName,MonitoringLocationIdentifier,sampledate,lagos_sampledepth,"Nitrogen, NH4","Nitrogen, dissolved Kjeldahl","Nitrogen, total","Nitrogen, total Kjeldahl","Arsenic, dissolved","Arsenic, total","Phosphorus, soluble reactive orthophosphate","Phosphorus, total","Nitrogen, nitrite (NO2) + nitrate (NO3)","Carbon, dissolved organic","Carbon, total organic","Nitrogen, total dissolved","Selenium, dissolved","Selenium, total","Aluminum, dissolved","Aluminum, total","Mercury, total dissolved","Mercury, total"
USGS Washington Water Science Center,USGS-14234800,1978-12-05,60.96,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1978-12-05,0.3048,NA,NA,NA,NA,NA,NA,19.568399999999997,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1978-12-05,54.864000000000004,NA,NA,NA,NA,NA,NA,19.568399999999997,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1978-12-06,6.096,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1978-12-06,15.24,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1978-12-06,30.48,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1978-12-06,73.152,NA,NA,NA,NA,NA,NA,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12057000,1978-12-07,6.096,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12057000,1978-12-07,57.912000000000006,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345647095353801,1978-12-21,5.486400000000001,NA,1300,1300,600,NA,NA,NA,NA,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345530095341501,1979-02-21,0.3048,NA,1100,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345530095341501,1979-02-21,4.8768,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,5.7,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345802095372401,1979-02-21,0.3048,NA,1300,1700,500,NA,NA,NA,NA,NA,NA,NA,2600,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345802095372401,1979-02-21,6.096,1600,2100,1900,600,NA,NA,NA,NA,NA,NA,NA,3600,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-383751122162401,1979-04-04,3,NA,NA,NA,NA,NA,NA,19.568399999999997,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-383049122094801,1979-04-05,30,NA,NA,NA,NA,NA,NA,19.568399999999997,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085500,1979-04-12,6.096,NA,NA,NA,NA,NA,NA,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345802095372401,1979-04-24,0.9144000000000001,NA,2000,730,420,NA,NA,NA,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-345802095372401,1979-04-24,7.62,NA,1700,780,460,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA
USGS Oklahoma Water Science Center,USGS-350046095385301,1979-04-24,13.411200000000001,NA,1900,960,520,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA
USGS Georgia Water Science Center,USGS-02339350,1979-04-30,6.03504,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,4.4,NA,NA,NA,NA,NA,NA,NA
USGS Georgia Water Science Center,USGS-02339362,1979-04-30,0.2,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Montana Water Science Center,USGS-485000107373001,1979-05-24,0,NA,NA,NA,NA,NA,NA,1598.086,208.7296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
