,NAMES,SITE_ID,LAT_DD,LON_DD
3145,488886$Cannon Creek Lake$Cannon Creek Lake,NLA17_KY-10001,36.680871,-83.70244
3146,0$None$None,NLA17_LA-10108,30.975808,-91.126295
3147,1193175$Raystown Lake$Raystown Lake,NLA17_PA-10001,40.36138,-78.11049
3148,30700$Kaibab Lake$Kaibab Lake,NLA17_AZ-10007,35.28444,-112.15733
3149,0$None$None,NLA17_OR-10076,42.62921,-118.58944
3150,1375468$Lake O' the Pines$Lake O' the Pines,NLA17_TX-10007,32.76028,-94.5334
3151,0$None$None,NLA17_CA-10069,38.14269,-120.85601
3152,0$None$None,NLA17_WV-10001,39.46917,-79.4996
3153,220666$Cascade Lakes$Cascade Lakes,NLA17_CA-10068,39.30039,-120.43665
3154,780570$Bull Lake$None,NLA17_MT-HP002,48.668993,-114.725576
3155,0$None$None,NLA17_IA-10001,43.14141,-94.66
3156,764686$Masters Lake$Masters Lake,NLA17_MO-10009,37.18697,-89.93055
3157,1855387$Lake Jacksonville$Lake Jacksonville,NLA17_TX-10010,31.91146,-95.29802
3158,643263$Elk Lake$Elk Lake,NLA17_MN-10842,47.18873,-95.21579
3159,0$None$None,NLA17_OK-10019,35.75326,-97.8656
3160,1754357$Oknoname 017200 Reservoir$None,NLA17_OK-10098,35.6718,-97.82668
3161,1859351$Soil Conservation Service Site 119a Reservoir$Soil Conservation Service Site 119a Reservoir,NLA17_TX-10088,32.04433,-96.7506
3162,1078504$Hammertown Lake$Hammertown Lake,NLA17_OH-10003,39.0555757,-82.6908051
3163,1042876$Madison Lake$Madison Lake,NLA17_OH-10013,39.8716392,-83.3754041
3164,205541$Bissonnette Pond$Bissonnette Pond,NLA17_CT-10001,41.9226,-72.21946
3165,1195043$Upper Owl Creek Reservoir$Upper Owl Creek Reservoir,NLA17_PA-10042,40.79785,-75.920141
3166,0$None$None,NLA17_AR-10004,34.59993,-92.50056
3167,0$None$None,NLA17_ND-10127,47.05293,-99.61986
3168,764869$Shy Lake$Shy Lake,NLA17_MO-10038,37.25329,-90.63321
3169,1425070$Alexander Lake$Alexander Lake,NLA17_UT-10100,40.60981,-110.97687
3170,628995$Indian Lake$Indian Lake,NLA17_MI-10141,46.59523,-88.08082
3171,0$None$None,NLA17_OR-10001,42.77432,-118.44403
3172,0$None$None,NLA17_LA-10004,29.9016137,-92.738866
3173,0$None$None,NLA17_WV-10014,37.98038,-81.07233
3174,0$None$None,NLA17_OH-10028,41.5937442,-84.6195514
3175,1029035$Fox Lake$Fox Lake,NLA17_ND-10147,46.94562,-98.35326
3176,535818$Horseshoe Lake$Horseshoe Lake,NLA17_LA-10015,32.720081,-91.696914
3177,1184549$Quemahoning Reservoir$Quemahoning Reservoir,NLA17_PA-10007,40.17117,-78.956091
3178,75816$Peachtree Lake$Peachtree Lake,NLA17_AR-10014,36.35088,-90.80319
3179,0$None$None,NLA17_OR-10014,43.764172,-122.0098271
3180,0$None$None,NLA17_MS-10015,31.88953,-90.60358
3181,0$None$None,NLA17_NJ-10005,39.851985,-74.789589
3182,0$None$None,NLA17_TX-10040,32.45558,-95.68378
3183,1188821$Stoughton Lake$Stoughton Lake,NLA17_PA-10004,40.160711,-79.049961
3184,1854564$Killion Lake$Killion Lake,NLA17_TX-10110,31.75673,-95.49397
3185,756663$Lake Saint Louise$Lake Saint Louise,NLA17_MO-10039,38.79907,-90.79441
3186,0$None$None,NLA17_LA-10231,32.470016,-93.69793
3187,0$None$None,NLA17_NC-10023,35.33353,-79.54946
3188,1238639$Lib Pines Lake$Lib Pines Lake,NLA17_SC-10002,33.44253,-80.2738
3189,0$None$None,NLA17_WV-10019,39.37158,-78.88258
3190,0$None$None,NLA17_TX-10121,29.84382,-96.76718
3191,860298$Lamoille Lake$None,NLA17_NV-HP001,40.5929,-115.3937
3192,0$None$None,NLA17_IN-10070,39.03416,-87.23585
3193,554067$Lake Concordia$Lake Concordia,NLA17_LA-10001,31.659615,-91.516418
3194,0$None$None,NLA17_PA-10047,41.18609,-75.4276
3195,434509$Fish Lake$Fish Lake,NLA17_IN-10175,41.62353,-85.3298
3196,0$None$None,NLA17_IN-10173,39.29891,-86.70319
3197,0$None$None,NLA17_TX-10136,32.08246,-96.03792
3198,0$None$None,NLA17_TX-HP004,34.002345,-99.124922
3199,0$None$None,NLA17_TX-HP005,33.998689,-99.116208
3200,1769699$Freese Reservoir$Freese Reservoir,NLA17_NE-10072,40.3155,-96.9964
3201,1029244$Grigg Lake$Grigg Lake,NLA17_ND-10137,48.88344,-100.34521
3202,0$None$None,NLA17_ND-10139,48.15924,-100.17773
3203,1361076$Lemon Reservoir$Lemon Reservoir,NLA17_TX-10048,29.15851,-95.3217
3204,0$None$None,NLA17_ND-10144,47.43872,-100.83447
3205,0$None$None,NLA17_MO-10043,39.59822,-91.64938
3206,0$None$Waldo Lake,NLA17_OR-10005,43.69388,-122.05071
3207,0$None$None,NLA17_OK-10097,36.92011,-95.1561
3208,0$None$None,NLA17_OR-10086,43.79703,-122.01868
3209,1865325$Fowlkes Ranch Lake$Fowlkes Ranch Lake,NLA17_TX-10112,29.68763,-103.8453
3210,1218885$Keech Pond$Keech Pond,NLA17_RI-10001,41.88348,-71.68858
3211,875243$Catfish Pond$Catfish Pond,NLA17_NJ-10006,41.03932,-74.99714
3212,0$None$None,NLA17_SD-10098,45.5803,-101.404411
3213,0$None$None,NLA17_ND-10103,46.193928,-100.978681
3214,1101123$Quanah Lake$None,NLA17_OK-HP004,34.67931,-98.60646
3215,0$None$None,NLA17_OR-10134,43.8285,-122.21269
3216,1359672$Horseshoe Tank$Horseshoe Tank,NLA17_TX-10144,33.53829,-99.89695
3217,0$None$None,NLA17_OR-HP10201,42.54279,-120.24223
3218,0$None$None,NLA17_AZ-10041,32.82084,-114.46036
3219,0$None$None,NLA17_AZ-10035,33.511363,-111.90754
3220,0$None$None,NLA17_AZ-10003,33.39933,-114.72288
3221,33945$Saguaro Lake$Saguaro Lake,NLA17_AZ-10001,33.56831,-111.52391
3222,631937$McKeen Lake$McKeen Lake,NLA17_MI-10030,43.11931,-83.360319
3223,1266878$Lake Oahe$Lake Oahe,NLA17_SD-10001,45.01971,-100.26474
3224,0$None$None,NLA17_MI-10095,43.393519,-83.416745
3225,632329$Mill Lake$Mill Lake,NLA17_MI-10006,42.74524,-83.31103
