"","NAMES","SITE_ID","LAT_DD","LON_DD","lagoslakeid"
"1880","208569; Long Meadow Pond; Long Meadow Pond","NLA12_CT-108",41.65348504,-73.20748141,123501
"1881","594239; Johnsons Pond; Johnsons Pond","NLA12_MD-104",38.37558017,-75.60016513,NA
"1882","NA; ; ","NLA12_WA-133",48.56842531,-123.0735207,NA
"1883","NA; ; ","NLA12_CO-130",39.64574357,-106.1674308,449212
"1884","1447276; White Pine Lake; White Pine Lake","NLA12_UT-126",41.92315669,-111.6571345,455238
"1885","NA; Tenkiller Ferry Lake; Tenkiller Ferry Lake","NLA12_OK-107",35.75411523,-94.91494418,392710
"1886","831269; Middle Marsh Lake; Middle Marsh Lake","NLA12_NE-121",42.51739225,-100.5028037,348933
"1887","1468879; Jordon Lake; Jordon Lake","NLA12_VA-127",37.15479457,-77.52050059,150209
"1888","NA; ; ","NLA12_VA-130",37.99359532,-78.17761298,148003
"1889","654350; Woodcock Lake; Woodcock Lake","NLA12_MN-114",45.23853942,-94.95293761,104234
"1890","213824; Concord Pond; Concord Pond","NLA12_DE-103",38.64269726,-75.55096879,147878
"1891","NA; ; ","NLA12_IL-116",37.69361669,-88.70869133,32566
"1892","1172337; Conneaut Lake; Conneaut Lake","NLA12_PA-113",41.62272558,-80.30498498,6531
"1893","450571; Muncie Lake; Muncie Lake","NLA12_IN-185",41.32762286,-85.45633739,4146
"1894","1663634; Twin Lakes Reservoir; Twin Lakes Reservoir","NLA12_CA-135",38.69849847,-120.0450767,475592
"1895","265946; Scotts Lake; Scotts Lake","NLA12_CA-123",38.76397086,-119.9656214,457133
"1896","1856582; Lake Montex; Lake Montex","NLA12_TX-128",32.66237175,-97.61238491,422699
"1897","NA; ; ","NLA12_OR-144",43.76442253,-122.0086406,468120
"1898","1446789; Twin Lakes; Twin Lakes","NLA12_UT-159",40.70452574,-110.9631214,456455
"1899","1447175; West Shingle Creek Lake; West Shingle Creek Lake","NLA12_UT-147",40.68036901,-111.097613,456443
"1900","NA; ; ","NLA12_SC-127",32.94279129,-80.41743994,163673
"1901","NA; ; ","NLA12_WY-R01",43.64344358,-110.7963554,463295
"1902","773274; Lebo Lake; Lebo Lake","NLA12_MT-144",46.31276308,-110.0325058,321089
"1903","NA; ; ","NLA12_SD-143",43.89012129,-101.1518294,346238
"1904","443584; Skinner Lake; Skinner Lake","NLA12_IN-103",41.39844133,-85.36782919,1437
"1905","577962; Webster Pond; Webster Pond","NLA12_ME-129",45.44708588,-68.1886754,34079
"1906","433845; Eagle Creek Reservoir; Eagle Creek Reservoir","NLA12_IN-163",39.83839159,-86.30451512,263193
"1907","577053; Three Corner Pond; Three Corner Pond","NLA12_ME-118",44.21313172,-69.52650339,7854
"1908","31403; Luna Lake; Luna Lake","NLA12_AZ-145",33.8293043,-109.090421,454392
"1909","1039659; Delaware Lake; Delaware Lake","NLA12_OH-101",40.36715267,-83.05951671,3386
"1910","287576; Negro Lake; Negro Lake","NLA12_FL-141",30.51614943,-85.70778846,232006
"1911","NA; ; ","NLA12_GA-R11",30.83352376,-82.356882,NA
"1912","828998; East Twin Lake; East Twin Lake","NLA12_NE-105",42.50469691,-100.5300766,348146
"1913","832455; Rat Lake; Rat Lake","NLA12_NE-108",42.45261113,-100.6479949,365182
"1914","908695; Middle Fork Lake; Middle Fork Lake","NLA12_NM-161",36.59549602,-105.4171201,447497
"1915","NA; ; ","NLA12_NM-162",36.87227505,-106.9285162,453371
"1916","292393; Trafford, Lake; Trafford, Lake","NLA12_FL-132",26.42221393,-81.49292185,194329
"1917","828190; Clear Lake; Clear Lake","NLA12_NE-113",42.26770048,-99.24832415,365980
"1918","1812098; McKeel Lake; McKeel Lake","NLA12_NE-102",42.53266913,-100.5913352,349099
"1919","780084; Blaine, Lake; Blaine, Lake","NLA12_MT-102",48.24728982,-114.1209126,459835
"1920","NA; ; ","NLA12_IN-174",38.00054365,-87.34409037,272418
"1921","NA; ; ","NLA12_SD-109",44.32793752,-97.11673425,356843
"1922","NA; ; ","NLA12_OR-121",44.39992585,-121.8013897,466696
"1923","1058178; Mogadore Reservoir; Mogadore Reservoir","NLA12_OH-107",41.05750722,-81.34450481,38660
"1924","NA; ; Shasta Lake","NLA12_CA-206",40.76439588,-122.2541896,474805
"1925","447074; Hidden Valley Lake; Hidden Valley Lake","NLA12_IN-171",39.26151083,-86.11289562,71938
"1926","NA; ; ","NLA12_MN-127",46.12736157,-96.13317067,65238
"1927","443861; South Twin Lake; South Twin Lake","NLA12_IN-186",41.72566548,-85.4639434,2833
"1928","214521; Records Pond; Records Pond","NLA12_DE-104",38.55949766,-75.56233222,148481
"1929","NA; ; ","NLA12_IN-180",37.9689899,-87.76969281,123887
"1930","NA; ; ","NLA12_MO-123",38.62966176,-92.60391967,132218
"1931","1606301; Wiant Reservoir; Wiant Reservoir","NLA12_WY-R08",41.36491157,-106.3458452,358542
"1932","79903; Lake Charles; Lake Charles","NLA12_AR-106",36.06720319,-91.14242843,105709
"1933","317956; McMath Millpond; McMath Millpond","NLA12_GA-103",32.0700182,-84.29710667,227207
"1934","999588; Shelly Lake; Shelly Lake","NLA12_NC-114",35.85874627,-78.66155303,153599
"1935","NA; ; ","NLA12_NE-135",41.92340362,-102.3884007,357944
"1936","NA; ; ","NLA12_SD-170",45.42085242,-97.50813452,356950
"1937","NA; ; ","NLA12_ND-113",48.89570001,-99.71279981,311079
"1938","575733; Soper Pond; Soper Pond","NLA12_ME-104",46.37254151,-69.22930798,84101
"1939","785762; Kintla Lake; Kintla Lake","NLA12_MT-136",48.95316293,-114.3227227,458324
"1940","NA; ; ","NLA12_MN-136",45.86625548,-95.29576378,139861
"1941","NA; ; ","NLA12_MN-158",47.66607411,-95.78566673,37089
"1942","568435; Hudson Pond; Hudson Pond","NLA12_ME-105",46.16781234,-69.00231021,25821
"1943","81237; Lake Hogue; Lake Hogue","NLA12_AR-102",35.58318947,-90.96294056,281394
"1944","NA; ; ","NLA12_AR-111",34.60033557,-92.50069818,292237
"1945","NA; ; ","NLA12_CA-141",39.09599481,-122.9319835,475877
"1946","261769; Indian Tom Lake; Indian Tom Lake","NLA12_CA-208",41.99178315,-121.8782454,NA
"1947","NA; ; ","NLA12_ND-199",47.848299,-100.278256,310966
"1948","1078002; Holiday Lake; Holiday Lake","NLA12_OH-104",41.08846075,-82.7290152,138003
"1949","40297; Lake of the Woods; Lake of the Woods","NLA12_AZ-R02",34.16108989,-109.9796571,453831
"1950","569868; Little Lake; Little Lake","NLA12_ME-122",44.78163002,-67.20470823,11175
"1951","787655; Moose Lake; Moose Lake","NLA12_MT-120",48.6294753,-114.3920285,459220
"1952","1034194; Devils Lake; Devils Lake","NLA12_ND-105",48.03204771,-98.90839834,314256
"1953","829337; Floyd Lake; Floyd Lake","NLA12_NE-127",42.0197906,-102.436373,349479
"1954","NA; ; ","NLA12_OR-160",43.81091778,-121.9093017,466787
"1955","NA; Sparks Lake; Sparks Lake","NLA12_OR-103",44.011243,-121.742747,467276
"1956","NA; ; ","NLA12_IN-104",38.21375521,-87.11795032,88820
"1957","451234; Monroe Lake; Monroe Lake","NLA12_IN-115",39.02600151,-86.47054783,3651
"1958","NA; ; ","NLA12_NC-134",35.71052114,-78.15717765,153538
"1959","1253665; Antelope Lake; Antelope Lake","NLA12_SD-154",44.83195396,-97.72143694,355166
"1960","335994; Little Ocmulgee Lake; Little Ocmulgee Lake","NLA12_GA-127",32.09647199,-82.90033962,174825
"1961","1518472; Damon Lake; Damon Lake","NLA12_WA-125",47.13372828,-124.0473316,469732
"1962","30804; Knoll Lake; Knoll Lake","NLA12_AZ-R01",34.42742317,-111.0867324,453903
"1963","169432; Meadow Creek Reservoir; Meadow Creek Reservoir","NLA12_CO-109",40.05558648,-105.7470802,449634
"1964","573103; Peaked Mountain Pond; Peaked Mountain Pond","NLA12_ME-107",44.76671955,-67.69865499,11172
"1965","831339; Lake Minatare; Lake Minatare","NLA12_NE-160",41.93354662,-103.4942217,358471
"1966","1567360; Katherine Lake; Katherine Lake","NLA12_WI-179",45.80478692,-89.71210018,5254
"1967","1576796; Willow Reservoir; Willow Reservoir","NLA12_WI-109",45.71958321,-89.88146231,4454
"1968","NA; ; ","NLA12_WI-115",45.89865584,-89.6943733,132495
"1969","798985; Foy Lake; Foy Lake","NLA12_MT-164",48.16778753,-114.3675211,458321
"1970","1195381; Kahle Lake; Kahle Lake","NLA12_PA-111",41.23632668,-79.65610085,78226
"1971","NA; ; ","NLA12_PA-115",40.99943137,-80.49312977,31470
"1972","NA; ; ","NLA12_TX-218",33.5630296,-97.01641569,422639
"1973","1078056; Lake of Four Seasons; Lake of Four Seasons","NLA12_OH-115",39.65347461,-82.47378134,65818
"1974","NA; ; ","NLA12_AR-103",34.41755034,-93.07012469,292666
"1975","NA; ; ","NLA12_AZ-106",33.40602291,-114.7138943,454077
"1976","NA; ; ","NLA12_AZ-123",33.0266436,-114.5090632,454253
"1977","831869; Olive Creek Lake; Olive Creek Lake","NLA12_NE-154",40.57928385,-96.84481374,363003
"1978","829336; Flowing Well Lake; Flowing Well Lake","NLA12_NE-156",42.35166617,-101.2441503,364942
"1979","NA; ; American Lake","NLA12_WA-103",47.12004952,-122.577182,472267
"1980","NA; ; ","NLA12_NE-166",40.72029355,-99.69727541,362218
"1981","NA; ; ","NLA12_NE-149",40.94645984,-100.2425074,361761
"1982","NA; ; ","NLA12_SD-157",45.91255997,-99.21601903,339876
"1983","828295; Conestoga Lake; Conestoga Lake","NLA12_NE-170",40.76510679,-96.85405546,361694
"1984","1254222; Lake Campbell; Lake Campbell","NLA12_SD-162",44.20860117,-96.84466113,357171
"1985","771674; Gagnon Reservoir; Gagnon Reservoir","NLA12_MT-151",48.38062147,-110.9852659,319184
"1986","35523; Tunnel Reservoir; Tunnel Reservoir","NLA12_AZ-157",34.03125525,-109.4431103,453914
"1987","1078854; Caldwell Lake; Caldwell Lake","NLA12_OH-106",39.77597099,-81.52247236,47115
"1988","173679; Trappers Lake; Trappers Lake","NLA12_CO-R01",39.9856728,-107.231024,451862
"1989","271554; Lake Henshaw; Lake Henshaw","NLA12_CA-102",33.23504244,-116.7444419,482421
"1990","NA; ; ","NLA12_CA-156",34.49328953,-117.2618539,483097
"1991","1253614; Lake Alice; Lake Alice","NLA12_SD-103",44.87790723,-96.63402874,83703
"1992","NA; ; ","NLA12_SD-150",45.75621315,-99.64575832,NA
"1993","NA; ; ","NLA12_SD-141",45.81116472,-99.28278555,340765
"1994","NA; ; ","NLA12_MT-135",48.02656863,-109.6237599,319756
"1995","NA; ; ","NLA12_CO-R10",40.17407647,-107.7039121,451898
"1996","NA; ; ","NLA12_MN-171",45.50796963,-96.51288831,NA
"1997","760843; Lake Vera; Lake Vera","NLA12_MO-122",40.14196149,-92.57464272,70239
"1998","NA; ; ","NLA12_MO-126",40.23250489,-92.69885469,99503
"1999","1528272; Wobbly Lake; Wobbly Lake","NLA12_WA-146",46.42220235,-121.5971666,467711
"2000","NA; ; ","NLA12_IN-142",38.6607598,-85.75451022,109296
"2001","NA; ; ","NLA12_MN-144",46.65012172,-94.12488338,73034
"2002","187483; Trout Lake; Trout Lake","NLA12_CO-107",37.8246388,-107.885134,450443
"2003","NA; ; ","NLA12_TX-199",32.04833893,-95.99865481,417781
"2004","NA; ; ","NLA12_NE-157",41.09244722,-96.35328376,361733
"2005","795713; Creedman Reservoir; Creedman Reservoir","NLA12_MT-103",48.96610899,-109.7597298,321911
"2006","NA; ; ","NLA12_IL-114",40.50804437,-90.16117672,6445
"2007","NA; ; ","NLA12_IN-117",39.71553494,-86.21183124,268706
"2008","1256722; Lake Norden; Lake Norden","NLA12_SD-198",44.59545614,-97.1985202,356818
"2009","565823; Eighth Debsconeag Pond; Eighth Debsconeag Pond","NLA12_ME-115",45.77842979,-69.12446592,8063
"2010","341538; Holland Pond; Holland Pond","NLA12_GA-114",32.38244403,-81.92934836,168078
"2011","NA; ; ","NLA12_IN-191",38.93722484,-85.19511755,260095
"2012","1513902; Capitol Lake; Capitol Lake","NLA12_WA-114",47.03340588,-122.9080173,470712
"2013","36077; White Horse Lake; White Horse Lake","NLA12_AZ-143",35.11670652,-112.0134231,454841
"2014","1447754; Millsite Reservoir; Millsite Reservoir","NLA12_UT-374",39.10008113,-111.2003351,452373
"2015","1178953; Laurel Lake; Laurel Lake","NLA12_PA-103",41.69578514,-75.13281395,17452
"2016","178814; Puett Reservoir; Puett Reservoir","NLA12_CO-105",37.4167824,-108.4056506,453155
