OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,sampledate,ActivityEndDate,sampledepth_m_legacy,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,samplesiteid_legacy,comments_legacy,ActivityCommentText,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,datavalue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,labmethodname_legacy,labmethodinfo_legacy,LaboratoryName,ResultLaboratoryCommentText,qualifier_legacy,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,ProviderName,ActivityStartDateTime,ActivityEndDateTime,obs_id,source_parameter,source_value,source_unit,detectionlimit_legacy,detectionlimit_unit_legacy,sampleposition_legacy,sampletype_legacy,sampledepth_m_lagos,samplelayer_lagos,sampletype_lagos
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00100516,Sample-Routine,2001-04-10,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-0203143670,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,5.2,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,2001-04-10 17:30:00,NA,503958,Alkalinity,5.2,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702133,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,24,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,TT013,USGS,"Alkalinity, wf, field, increment",NA,NA,NA,NA,NA,NA,NWIS,1997-08-13 17:30:00,NA,504289,Alkalinity,24,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702133,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,29.1,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,1997-08-13 17:30:00,NA,504298,Alkalinity,29.1,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702130,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,31,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,TT013,USGS,"Alkalinity, wf, field, increment",NA,NA,NA,NA,NA,NA,NWIS,1997-08-13 16:20:00,NA,504680,Alkalinity,31,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702130,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,32.4,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,1997-08-13 16:20:00,NA,504689,Alkalinity,32.4,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702131,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,31,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,TT013,USGS,"Alkalinity, wf, field, increment",NA,NA,NA,NA,NA,NA,NWIS,1997-08-13 16:30:00,NA,504731,Alkalinity,31,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99702131,Sample-Routine,1997-08-13,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,32.8,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,1997-08-13 16:30:00,NA,504740,Alkalinity,32.8,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400982,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660440,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,7,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2004-09-14 14:30:00,NA,505133,Alkalinity,7,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900601,Sample-Routine,2009-07-07,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660020,   A-1910144 Bottom (Bed) Material,A-1910144 Bottom (Bed) Material,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,14,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2009-07-07 14:30:00,NA,505296,Alkalinity,14,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400986,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660450,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,8,mg/l CaCO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2004-09-14 15:00:00,NA,505667,Alkalinity,8,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701749,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Dissolved,34,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,39086,NA,NA,TT013,USGS,"Alkalinity, wf, field, increment",NA,NA,NA,NA,NA,NA,NWIS,1997-07-09 15:15:00,NA,506121,Alkalinity,34,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99701749,Sample-Routine,1997-07-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,Alkalinity,Total,41.7,mg/l CaCO3,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,90410,NA,NA,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)","USGS TWRI 5-A1/1989, p 57",NA,NA,NA,NA,NA,NWIS,1997-07-09 15:15:00,NA,506129,Alkalinity,41.7,mg/l CaCO3,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
