OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,sampledate,ActivityEndDate,sampledepth_m_legacy,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,samplesiteid_legacy,comments_legacy,ActivityCommentText,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,datavalue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,labmethodname_legacy,labmethodinfo_legacy,LaboratoryName,ResultLaboratoryCommentText,qualifier_legacy,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,ProviderName,ActivityStartDateTime,ActivityEndDateTime,obs_id,source_parameter,source_value,source_unit,detectionlimit_legacy,detectionlimit_unit_legacy,sampleposition_legacy,sampletype_legacy,sampledepth_m_lagos,samplelayer_lagos,sampletype_lagos
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900040,Sample-Routine,2008-11-20,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660030,   ,NA,USGS,USGS,USGS,Unknown,NA,"Oxygen, dissolved",Dissolved,7.5,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2008-11-20 14:15:00,NA,519444,Oxygen,7.5,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQD09222016F,Field Msr/Obs,2016-09-22,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQD,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,5,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2016-09-22 15:15:00,NA,519535,Dissolved oxygen (DO),5,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQB04242019F,Field Msr/Obs,2019-04-24,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQB,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",NA,7,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-04-24 15:30:00,NA,519577,Dissolved oxygen (DO),7,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQD08132015F,Field Msr/Obs,2015-08-13,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQD,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,6.1,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2015-08-13 15:10:00,NA,519622,Dissolved oxygen (DO),6.1,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQA03262019F,Field Msr/Obs,2019-03-26,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQA,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,7,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-03-26 15:45:00,NA,519646,Dissolved oxygen (DO),7,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQB09292017F,Field Msr/Obs,2017-09-29,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQB,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,3,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2017-09-29 15:15:00,NA,519731,Dissolved oxygen (DO),3,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800167,Sample-Routine,1988-01-19,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-02079882,   ,NA,USGS,USGS,USGS,Unknown,NA,"Oxygen, dissolved",Dissolved,6.16,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,301,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NWIS,1988-01-19 14:15:00,NA,519826,Oxygen,77,% saturatn,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQA10262017F,Field Msr/Obs,2017-10-26,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQA,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,6.8,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2017-10-26 15:45:00,NA,519870,Dissolved oxygen (DO),6.8,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQB10232019F,Field Msr/Obs,2019-10-23,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQB,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,4.6,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-10-23 15:55:00,NA,519999,Dissolved oxygen (DO),4.6,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQB09182019F,Field Msr/Obs,2019-09-18,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQB,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,4.7,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-09-18 16:00:00,NA,520314,Dissolved oxygen (DO),4.7,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQA07252017F,Field Msr/Obs,2017-07-17,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQA,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,3.6,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2017-07-17 16:30:00,NA,520409,Dissolved oxygen (DO),3.6,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQB02062019F,Field Msr/Obs,2019-02-06,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQB,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,8.7,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-02-06 15:45:00,NA,520526,Dissolved oxygen (DO),8.7,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQD10112019F,Field Msr/Obs,2019-10-11,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQD,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,7.2,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-10-11 15:05:00,NA,520551,Dissolved oxygen (DO),7.2,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQB08272015F,Field Msr/Obs,2015-08-27,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQB,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,3.2,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2015-08-27 15:20:00,NA,520581,Dissolved oxygen (DO),3.2,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQA05252017F,Field Msr/Obs,2017-05-25,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQA,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,4.2,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2017-05-25 15:25:00,NA,520708,Dissolved oxygen (DO),4.2,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQD06052019F,Field Msr/Obs,2019-06-05,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQD,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,4.1,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-06-05 15:10:00,NA,520935,Dissolved oxygen (DO),4.1,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQA09182019F,Field Msr/Obs,2019-09-18,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQA,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,4.6,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-09-18 15:45:00,NA,521192,Dissolved oxygen (DO),4.6,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQD04042017F,Field Msr/Obs,2017-04-04,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQD,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,6.2,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2017-04-04 15:20:00,NA,521321,Dissolved oxygen (DO),6.2,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQA02282019F,Field Msr/Obs,2019-02-28,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQA,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,10,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2019-02-28 15:45:00,NA,521381,Dissolved oxygen (DO),10,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
BACKBAYNWR,Back Bay National Wildlife Refuge,BACKBAYNWR-WQA02212017F,Field Msr/Obs,2017-02-21,NA,NA,m,NA,NA,NA,NA,NA,BBWaterQuality,NA,BACKBAYNWR-WQA,   ,NA,NA,NA,NA,NA,NA,"Oxygen, dissolved",Dissolved,5.7,mg/l,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2017-02-21 15:25:00,NA,521397,Dissolved oxygen (DO),5.7,mg/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400982,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660440,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,11.6,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,FL008,USGS,"Chlorophyll a,phyto,fluorometric",NA,NA,NA,Lower Reporting Limit,0.1,ug/l,NWIS,2004-09-14 14:30:00,NA,489524,Chlorophyll a,11.6,ug/l,0.1,ug/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400983,Sample-Routine,2004-09-15,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660489,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,7.1,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,FL008,USGS,"Chlorophyll a,phyto,fluorometric",NA,NA,NA,Lower Reporting Limit,0.1,ug/l,NWIS,2004-09-15 14:00:00,NA,490592,Chlorophyll a,7.1,ug/l,0.1,ug/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400981,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660470,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,Total,6.5,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,62361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2004-09-14 13:35:00,NA,492489,Chlorophyll,6.5,ug/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400981,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660470,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,8.4,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,FL008,USGS,"Chlorophyll a,phyto,fluorometric",NA,NA,NA,Lower Reporting Limit,0.1,ug/l,NWIS,2004-09-14 13:35:00,NA,492495,Chlorophyll a,8.4,ug/l,0.1,ug/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400985,Sample-Routine,2004-09-15,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660480,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,5.8,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,FL008,USGS,"Chlorophyll a,phyto,fluorometric",NA,NA,NA,Lower Reporting Limit,0.1,ug/l,NWIS,2004-09-15 13:15:00,NA,502264,Chlorophyll a,5.8,ug/l,0.1,ug/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400982,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660440,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,Total,6.9,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,62361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2004-09-14 14:30:00,NA,505135,Chlorophyll,6.9,ug/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400986,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660450,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,Total,4.5,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,62361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2004-09-14 15:00:00,NA,505669,Chlorophyll,4.5,ug/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400986,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660450,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,6.5,ug/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,70953,NA,NA,FL008,USGS,"Chlorophyll a,phyto,fluorometric",NA,NA,NA,Lower Reporting Limit,0.1,ug/l,NWIS,2004-09-14 15:00:00,NA,505676,Chlorophyll a,6.5,ug/l,0.1,ug/l,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800149,Sample-Routine,1987-12-16,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-02079882,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,12.4,ug/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,32209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1987-12-16 18:30:00,NA,511374,Chlorophyll a,12.4,ug/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800234,Sample-Routine,1988-02-17,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-02079882,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,11.8,ug/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,32209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1988-02-17 14:30:00,NA,512083,Chlorophyll a,11.8,ug/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800167,Sample-Routine,1988-01-19,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-02079882,   ,NA,USGS,USGS,USGS,Unknown,NA,Chlorophyll a,NA,9.80,ug/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,32209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1988-01-19 14:15:00,NA,515681,Chlorophyll a,9.80,ug/l,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99600054,Sample-Routine,1995-10-19,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01657880,   ,NA,USGS,USGS,USGS,Unknown,NA,"pH, equilibrated",Total,6.8,pH,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pH,NWIS,1995-10-19 14:00:00,NA,489504,pH,6.8,std units,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400982,Sample-Routine,2004-09-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660440,   ,NA,USGS,USGS,USGS,Unknown,NA,"pH, equilibrated",Total,6.4,pH,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pH,NWIS,2004-09-14 14:30:00,NA,489715,pH,6.4,std units,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MIDN_PETE_07_20100706132002_01,Field Msr/Obs,2010-07-06,NA,NA,m,NA,NA,NA,NA,NA,MIDN_PETE_WQ,NA,11NPSWRD_WQX-MIDN_PETE_07,   Meter Serial #: 09H100385  Organization ActivityID=MIDN_PETE_07_20100706132002,Meter Serial #: 09H100385  Organization ActivityID=MIDN_PETE_07_20100706132002,NA,NA,NA,NA,NA,"pH, equilibrated",NA,6.34,pH,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIDN_UVA_YSI_PRO_PLU,11NPSWRD_WQX,YSI Pro Plus,NA,NA,NA,NA,NA,pH,STORET,2010-07-06 17:20:00,NA,489900,pH,6.34,None,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00201138,Sample-Routine,2002-04-09,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-0166578037,   ,NA,USGS,USGS,USGS,Unknown,NA,"pH, equilibrated",Total,5.7,pH,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pH,NWIS,2002-04-09 19:05:00,NA,490191,pH,5.7,std units,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00100573,Sample-Routine,2001-05-14,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-0203143670,   ,NA,USGS,USGS,USGS,Unknown,NA,"pH, equilibrated",Total,6,pH,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pH,NWIS,2001-05-14 15:25:00,NA,490594,pH,6.0,std units,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MIDN_PETE_07_20100609161002_01,Field Msr/Obs,2010-06-09,NA,NA,m,NA,NA,NA,NA,NA,MIDN_PETE_WQ,NA,11NPSWRD_WQX-MIDN_PETE_07,   Meter Serial #: 094100385  Organization ActivityID=MIDN_PETE_07_20100609161002,Meter Serial #: 094100385  Organization ActivityID=MIDN_PETE_07_20100609161002,NA,NA,NA,NA,NA,"pH, equilibrated",NA,6.15,pH,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIDN_UVA_YSI_PRO_PLU,11NPSWRD_WQX,YSI Pro Plus,NA,NA,NA,NA,NA,pH,STORET,2010-06-09 20:10:00,NA,490601,pH,6.15,None,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00400983,Sample-Routine,2004-09-15,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01660489,   ,NA,USGS,USGS,USGS,Unknown,NA,"pH, equilibrated",Total,6.3,pH,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pH,NWIS,2004-09-15 14:00:00,NA,490660,pH,6.3,std units,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MIDN_PETE_07_20110512112203_01,Field Msr/Obs,2011-05-12,NA,NA,m,NA,NA,NA,NA,NA,MIDN_PETE_WQ,NA,11NPSWRD_WQX-MIDN_PETE_07,   YSI serial #: 09H100385  Organization ActivityID=MIDN_PETE_07_20110512112203,YSI serial #: 09H100385  Organization ActivityID=MIDN_PETE_07_20110512112203,NA,NA,NA,NA,NA,"pH, equilibrated",NA,6.25,pH,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIDN_UVA_YSI_PRO_PLU,11NPSWRD_WQX,YSI Pro Plus,NA,NA,NA,NA,NA,pH,STORET,2011-05-12 15:22:00,NA,490681,pH,6.25,None,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-MIDN_PETE_07_20090812140504_01,Field Msr/Obs,2009-08-12,NA,NA,m,NA,NA,NA,NA,NA,MIDN_PETE_WQ,NA,11NPSWRD_WQX-MIDN_PETE_07,   Organization ActivityID=MIDN_PETE_07_20090812140504,Organization ActivityID=MIDN_PETE_07_20090812140504,NA,NA,NA,NA,NA,"pH, equilibrated",NA,6.47,pH,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,MIDN_UVA_YSI_PRO_PLU,11NPSWRD_WQX,YSI Pro Plus,NA,NA,NA,NA,NA,pH,STORET,2009-08-12 18:05:00,NA,490959,pH,6.47,None,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
USGS-VA,USGS Virginia Water Science Center,nwisva.01.00900315,Sample-Routine,2009-03-24,NA,NA,m,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-01659700,"   L-0860010 Received March 26, 2009","L-0860010 Received March 26, 2009",USGS,USGS,USGS,Unknown,NA,"pH, equilibrated",Total,8.6,pH,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pH,NWIS,2009-03-24 15:20:00,NA,491246,pH,8.6,std units,NA,NA,UNKNOWN,UNKNOWN,NA,UNKNOWN,UNKNOWN
