combined_name,depths,no_depths,proport_depth,depth_75,sd_depth
NJDEP Bureau of Freshwater and Biological Monitoring NA,15154,500,3.19,1,1.95
NM Environmental Dept./SWQB NA,231,1889,89.1,0,0
North Carolina Department of Environmental Resources NCDENR-DWQ WQX NC Lakes Monitoring,7954,8,0.1,1.8,1.82
North Carolina Department of Environmental Resources NCDENR-DWQ WQX NC Lakes Monitoring - NC Division of Water Quality,40401,6,0.01,1.8,2.68
North Dakota Department Of Environmental Quality NA,61950,2961,4.56,3,4.49
North Dakota Dept. of Health NA,13412,1367,9.25,5,7.21
Northern Ute Indian Tribe (UT) NA,0,1,100,NA,NA
Northwest Florida Water District NA,11,22,66.67,0,0
Oklahoma Corporation Commission NA,0,32,100,NA,NA
Oklahoma Corporation Commission Oklahoma Corporation Commission,8,6,42.86,0,0
Oneida Nation (Tribal) NA,344,491,58.8,0.5,0.28
Orange County Environmental Protection (Florida) NA,49901,4013,7.44,0.5,0.01
Orlando Streets Drainage Stormwater Utility Bureau(Florida) NA,22788,11109,32.77,0.3,0.18
OWRB Lakes Monitoring NA,129,14,9.79,0.5,0.2
PA DEPARTMENT OF ENVIRONMENTAL PROTECTION NA,262,1339,83.64,0,0
Palm Beach County Environmental Resources Management Departm 21FLPBCH,2089,8,0.38,0.5,0
Palm Beach County Environmental Resources Management Departm 21FLPBCH_WQX,1212,24,1.94,0.5,0.04
Palm Beach County Environmental Resources Managemnt(Florida) NA,1038,57,5.21,0.5,0.12
Passamaquoddy Tribe (Tribal) NA,10450,17,0.16,8,4.22
Pinellas County Dept. of Environmental Management (Florida) NA,8704,534,5.78,0.2,0.13
Polk County Conservation Board NA,4,18,81.82,0,0
Polk County Water Resources (Florida) NA,45818,206,0.45,1.2,1.17
Prairie Island Indian Community NA,2932,538,15.5,0.3,0.13
Pueblo of Sandia Water Quality Program (New Mexico) NA,50,30,37.5,0.8,0.35
Quinault Indian Nation NA,0,171,100,NA,NA
Red Lake DNR NA,47999,22,0.05,2.3,4.37
Saginaw Chippewa Indian Tribe of Michigan (Tribal) NA,0,23,100,NA,NA
Salmon Drift Creek Watershed Council (Volunteer) NA,0,68,100,NA,NA
Samish Indian Nation NA,16,43,72.88,0,0
Santee Cooper - South Carolina Public Service Authority NA,59607,2,0,0.3,1.07
Seminole  County (Florida) 21FLSEM,12474,2660,17.58,0.5,0.2
Seminole  County (Florida) NA,11476,2603,18.49,0.5,0.15
Seneca Cayuga Tribe NA,1237,158,11.33,2.4,1.65
Shakopee Mdewakanton Sioux Community of Minnesota (Tribal) NA,0,1394,100,NA,NA
"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada NA",85,227,72.76,1,1.9
Sisseton-Wahpeton Sioux Tribe Lake Traverse Reservation (SD) (Tribal) NA,9,3,25,0.5,0.11
Sisseton-Wahpeton Sioux Tribe Lake Traverse Reservation (SD) NA,524,139,20.97,0.5,0.27
Siuslaw Watershed Council NA,0,6,100,NA,NA
Sokaogon Chippewa Community (Tribal) NA,58,1409,96.05,0.2,0
South Carolina Department of Health and Environmental Control NA,51985,16680,24.29,0.3,0.36
Southern Ute Tribe NA,0,232,100,NA,NA
Southwest Florida Water Management District 21FLSWFD,64468,1131,1.72,0.5,1.14
Spirit Lake Tribal EPA Programs NA,307,2210,87.8,0.9,0.51
