SITE_ID,VISIT_NO,INDEX_LAT_DD,INDEX_LON_DD,UID
NLA06608-0558,1,46.76229,-96.21452,NA
NLA06608-0560,1,35.71164,-101.55478,NA
NLA06608-0561,1,44.97318,-116.05863,NA
NLA06608-0562,1,41.68528,-71.60528,NA
NLA06608-0562,2,41.68528,-71.60528,NA
NLA06608-0564,1,35.9771,-105.91781,NA
NLA06608-0565,1,37.244935,-121.967613,NA
NLA06608-0569,1,34.605233,-112.438524,NA
NLA06608-0570,1,45.44818,-109.2029,NA
NLA06608-0579,1,46.83281,-99.76491,NA
NLA06608-0580,1,37.21933,-82.36935,NA
NLA06608-0581,1,43.28911,-114.37982,NA
NLA06608-0582,1,41.80082,-72.52813,NA
NLA06608-0583,1,31.20728,-91.548056,NA
NLA06608-0585,1,39.48382,-118.72084,NA
NLA06608-0587,1,41.228889,-86.585278,NA
NLA06608-0587,2,41.228889,-86.585556,NA
NLA06608-0588,1,39.3334,-97.37382,NA
NLA06608-0590,1,45.908911,-89.917723,NA
NLA06608-0591,1,34.13802,-84.63835,NA
NLA06608-0593,1,48.708403,-122.327729,NA
NLA06608-0594,1,32.37764,-82.06459,NA
NLA06608-0595,1,45.81218,-99.7673,NA
NLA06608-0596,1,39.08167,-106.36543,NA
NLA06608-0597,1,43.5494,-116.65942,NA
NLA06608-0599,1,30.310504,-96.573527,NA
NLA06608-0606,1,45.974444,-90.508889,NA
NLA06608-0608,1,36.58794,-89.26077,NA
NLA06608-0609,1,28.276619,-82.276619,NA
NLA06608-0610,1,42.695833,-71.369167,NA
NLA06608-0614,1,43.3787,-123.265973,NA
NLA06608-0616,1,36.7247,-98.88783,NA
NLA06608-0617,1,35.06931,-111.52176,NA
NLA06608-0618,1,31.44377,-86.44398,NA
NLA06608-0619,1,42.32338,-85.46559,NA
NLA06608-0622,1,45.87162,-95.34465,NA
NLA06608-0623,1,41.058545,-81.353517,NA
NLA06608-0624,1,39.366944,-89.021111,NA
NLA06608-0625,1,44.95548,-118.18523,NA
NLA06608-0627,1,44.890278,-88.474444,NA
NLA06608-0628,1,35.75246,-105.14289,NA
NLA06608-0630,1,46.301288,-87.780435,NA
NLA06608-0632,1,38.35368,-94.65656,NA
NLA06608-0634,1,47.92519,-101.2276,NA
NLA06608-0635,1,40.33806,-105.12444,NA
NLA06608-0637,1,40.194954,-111.135446,NA
NLA06608-0641,1,48.419643,-117.661904,NA
