lagoslakeid,source_sample_siteid,sample_date,sample_depth_m,temp_degc,do_mgl,ph,spcond_uscm,source_value_qualifiercode,source_comments,profile
317084,NLA06608-0001,7/31/2007,0,16.3,8.3,8.1,150,,,integrated
317084,NLA06608-0001,7/31/2007,1,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,2,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,3,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,4,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,5,16.3,8.2,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,6,16.1,8.6,8.2,153,,,integrated
317084,NLA06608-0001,7/31/2007,7,10.7,10.8,8.4,144,,,integrated
317084,NLA06608-0001,7/31/2007,8,10.2,11,8.4,143,,,integrated
160874,NLA06608-0002,6/14/2007,0,29.19,NA,5.5,52.9,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,0.5,24,NA,5.3,46.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,1,21.9,NA,5.5,62,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,1.5,18.8,NA,5.6,72.3,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,6/14/2007,1.9,17.2,NA,5.7,76.8,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,7/23/2007,0,25.6,NA,5.1,43.5,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,7/23/2007,0.5,25,NA,5.1,42.9,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
160874,NLA06608-0002,7/23/2007,0.8,23.9,NA,5,51.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
445489,NLA06608-0003,8/29/2007,0,30.6,8.3,8.4,1132,,,integrated
445489,NLA06608-0003,8/29/2007,0.5,30.3,8.2,8.4,1134,,,integrated
445489,NLA06608-0003,8/29/2007,1,29.9,7.8,8.4,1128,,,integrated
445489,NLA06608-0003,8/29/2007,1.5,29.6,5.7,8.2,1120,,,integrated
445489,NLA06608-0003,8/29/2007,2,29.4,4,8,1144,,,integrated
445489,NLA06608-0003,9/6/2007,0,30,9,8.4,1221,,,integrated
445489,NLA06608-0003,9/6/2007,1,29.9,9,8.4,1218.6,,,integrated
445489,NLA06608-0003,9/6/2007,2,29,4.1,8,1196.8,,,integrated
453155,NLA06608-0004,7/10/2007,0,20.6,6.7,8.2,296,,,integrated
453155,NLA06608-0004,7/10/2007,1,20.6,6.7,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,2,20.5,6.6,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,3,20.5,6.6,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,4,20.4,6.5,8.4,296,,,integrated
453155,NLA06608-0004,7/10/2007,5,20.1,5.4,8.2,296,,,integrated
453155,NLA06608-0004,7/10/2007,5.7,19,2.2,7.8,296,,,integrated
453155,NLA06608-0004,9/11/2007,0,18.8,6.2,8.3,298,,,integrated
453155,NLA06608-0004,9/11/2007,1,18.8,6.1,8.4,299,,,integrated
453155,NLA06608-0004,9/11/2007,2,18.7,6,8.4,301,,,integrated
453155,NLA06608-0004,9/11/2007,3,18.7,6.1,8.4,302,,,integrated
453155,NLA06608-0004,9/11/2007,4,18.7,6.3,8.4,302,,,integrated
453155,NLA06608-0004,9/11/2007,5,18.6,6.2,8.4,303,,,integrated
453155,NLA06608-0004,9/11/2007,5.5,18.6,6.1,8.4,304,,,integrated
466620,NLA06608-0005,7/18/2007,0,20.1,8.12,7.51,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,1,20.1,8.19,7.51,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,2,20.1,7.82,7.51,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,3,20.1,7.65,7.66,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,4,20.1,7.66,8.02,40.1,,,integrated
466620,NLA06608-0005,7/18/2007,5,19.9,7.8,8.1,40.8,,,integrated
466620,NLA06608-0005,7/18/2007,5.6,19.9,7.8,8,40.8,,,integrated
466620,NLA06608-0005,8/22/2007,0,17.5,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,1,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,2,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,3,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,4,17.6,7.7,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,5,17.6,7.6,8.3,54,,,integrated
466620,NLA06608-0005,8/22/2007,6,17.4,7.5,8.1,54,,,integrated
466620,NLA06608-0005,8/22/2007,6.4,17.3,7.4,8,54,,,integrated
76789,NLA06608-0006,7/17/2007,0,25.3,8.56,8.15,77,,,integrated
76789,NLA06608-0006,7/17/2007,1,25.3,8.56,8.15,77,,,integrated
76789,NLA06608-0006,7/17/2007,2,25.1,8.64,8.1,77,,,integrated
76789,NLA06608-0006,7/17/2007,3,25,8.55,8.1,77,,,integrated
76789,NLA06608-0006,7/17/2007,4,24.5,8.83,8.1,77,,,integrated
76789,NLA06608-0006,7/17/2007,5,17.6,9.55,7.1,74,,,integrated
76789,NLA06608-0006,7/17/2007,6,14.2,7.76,6.8,72,,,integrated
76789,NLA06608-0006,7/17/2007,7,10.4,6.39,6.6,73,,,integrated
76789,NLA06608-0006,7/17/2007,8,8.4,6.58,6.5,72,,,integrated
76789,NLA06608-0006,7/17/2007,9,7.54,7.48,6.5,73,,,integrated
76789,NLA06608-0006,7/17/2007,10,7.07,7.6,6.6,73,,,integrated
76789,NLA06608-0006,7/17/2007,11,6.79,7.64,6.6,73,,,integrated
76789,NLA06608-0006,7/17/2007,12,6.51,8.01,6.6,73,,,integrated
76789,NLA06608-0006,7/17/2007,13,6.33,8.11,6.6,73,,,integrated
76789,NLA06608-0006,7/17/2007,14,6.06,8,6.6,73,,,integrated
76789,NLA06608-0006,7/17/2007,15,5.94,7.8,6.6,74,,,integrated
76789,NLA06608-0006,7/17/2007,16,5.89,7.86,6.6,74,,,integrated
76789,NLA06608-0006,7/17/2007,17,5.81,7.99,6.6,73,,,integrated
76789,NLA06608-0006,7/17/2007,18,5.74,8.04,6.6,74,,,integrated
76789,NLA06608-0006,7/17/2007,19,5.7,7.67,6.6,74,,,integrated
76789,NLA06608-0006,7/17/2007,20,5.64,6.83,6.6,75,,,integrated
76789,NLA06608-0006,7/17/2007,21,5.55,6.21,6.5,75,,,integrated
76789,NLA06608-0006,7/17/2007,22,5.53,5.2,6.5,76,,,integrated
76789,NLA06608-0006,7/17/2007,23,5.51,4.45,6.5,77,,,integrated
76789,NLA06608-0006,7/17/2007,24,5.46,1.83,6.6,87,,,integrated
76789,NLA06608-0006,8/30/2007,0,24.7,8.84,7.85,83,,,integrated
76789,NLA06608-0006,8/30/2007,1,24.4,8.51,7.82,83,,,integrated
76789,NLA06608-0006,8/30/2007,2,24.3,8.49,7.8,82,,,integrated
76789,NLA06608-0006,8/30/2007,3,24.2,8.49,7.78,82,,,integrated
76789,NLA06608-0006,8/30/2007,4,22.8,8.55,7.71,82,,,integrated
76789,NLA06608-0006,8/30/2007,5,20.7,7.07,7.3,81,,,integrated
76789,NLA06608-0006,8/30/2007,6,14.9,3.04,6.63,78,,,integrated
76789,NLA06608-0006,8/30/2007,7,10.7,3.22,6.51,77,,,integrated
76789,NLA06608-0006,8/30/2007,8,8.71,4.71,6.48,77,,,integrated
76789,NLA06608-0006,8/30/2007,9,7.81,5.44,6.46,76,,,integrated
76789,NLA06608-0006,8/30/2007,10,7.26,5.68,6.46,77,,,integrated
76789,NLA06608-0006,8/30/2007,11,6.88,5.95,6.47,76,,,integrated
76789,NLA06608-0006,8/30/2007,12,6.66,6.24,6.48,77,,,integrated
76789,NLA06608-0006,8/30/2007,13,6.38,6.13,6.47,77,,,integrated
76789,NLA06608-0006,8/30/2007,14,6.22,6.13,6.47,77,,,integrated
76789,NLA06608-0006,8/30/2007,15,6.12,6.32,6.48,77,,,integrated
76789,NLA06608-0006,8/30/2007,16,6.06,6.31,6.48,77,,,integrated
76789,NLA06608-0006,8/30/2007,17,6,6.22,6.48,77,,,integrated
76789,NLA06608-0006,8/30/2007,18,5.92,5.8,6.45,77,,,integrated
76789,NLA06608-0006,8/30/2007,19,5.85,4.66,6.42,78,,,integrated
76789,NLA06608-0006,8/30/2007,20,5.78,4.08,6.38,78,,,integrated
76789,NLA06608-0006,8/30/2007,21,5.73,2.91,6.35,79,,,integrated
76789,NLA06608-0006,8/30/2007,22,5.7,1.74,6.35,81,,,integrated
76789,NLA06608-0006,8/30/2007,23,5.69,1.01,6.36,82,,,integrated
76789,NLA06608-0006,8/30/2007,23.5,5.67,0.62,6.48,87,,,integrated
5347,NLA06608-0007,7/24/2007,0,26.7,8.17,7.15,34.2,,,integrated
5347,NLA06608-0007,7/24/2007,1,26.4,8.12,7.14,35,,,integrated
5347,NLA06608-0007,7/24/2007,2,23.9,8.3,7.14,27.3,,,integrated
5347,NLA06608-0007,7/24/2007,3,23.7,8.09,7.11,27.2,,,integrated
5347,NLA06608-0007,7/24/2007,4,23.2,7.68,6.46,31.7,,,integrated
5347,NLA06608-0007,7/24/2007,5,17.4,8.28,6.01,27.5,,,integrated
5347,NLA06608-0007,7/24/2007,6,12.4,7.58,5.87,28.9,,,integrated
5347,NLA06608-0007,7/24/2007,7,8.9,8.17,5.95,25.2,,,integrated
5347,NLA06608-0007,7/24/2007,8,6,7.88,5.9,23.3,,,integrated
5347,NLA06608-0007,7/24/2007,9,5.5,7.6,5.85,22.8,,,integrated
5347,NLA06608-0007,7/24/2007,10,5.2,7.27,5.83,32.2,,,integrated
5347,NLA06608-0007,7/24/2007,11,5,6.67,5.76,30.8,,,integrated
5347,NLA06608-0007,7/24/2007,12,4.9,5.97,5.72,28.4,,,integrated
5347,NLA06608-0007,7/24/2007,13,4.9,5.43,5.63,32.4,,,integrated
5347,NLA06608-0007,7/24/2007,14,4.8,4.65,5.65,32.2,,,integrated
5347,NLA06608-0007,7/24/2007,15,4.8,3.92,5.62,33.3,,,integrated
5347,NLA06608-0007,7/24/2007,16,4.8,2,5.62,35.6,,,integrated
5347,NLA06608-0007,7/24/2007,17,4.8,1.05,5.63,34.4,,,integrated
5347,NLA06608-0007,7/24/2007,18,4.8,0.72,5.76,37.8,,,integrated
5347,NLA06608-0007,7/24/2007,18.5,4.8,0.71,5.76,39.4,,,integrated
5347,NLA06608-0007,9/6/2007,0,23.5,8.33,6.7,20.9,,,integrated
5347,NLA06608-0007,9/6/2007,1,23.5,8.3,6.8,20.8,,,integrated
5347,NLA06608-0007,9/6/2007,2,23.5,8.3,6.9,20.8,,,integrated
5347,NLA06608-0007,9/6/2007,3,22.6,8.7,7.3,20.5,,,integrated
5347,NLA06608-0007,9/6/2007,4,21.7,8.7,7.2,20.6,,,integrated
5347,NLA06608-0007,9/6/2007,5,19.7,6.9,5.9,20.8,,,integrated
5347,NLA06608-0007,9/6/2007,6,14.9,5,5.3,21.5,,,integrated
5347,NLA06608-0007,9/6/2007,7,9.3,5.3,5.3,21.5,,,integrated
5347,NLA06608-0007,9/6/2007,8,7,5.3,5.2,21.2,,,integrated
5347,NLA06608-0007,9/6/2007,9,5.8,4.7,5.2,21.4,,,integrated
5347,NLA06608-0007,9/6/2007,10,5.3,4.2,5.1,21.4,,,integrated
5347,NLA06608-0007,9/6/2007,11,5.1,3.9,5.2,21.6,,,integrated
5347,NLA06608-0007,9/6/2007,12,4.9,3.1,5.2,22,,,integrated
5347,NLA06608-0007,9/6/2007,13,4.9,2.6,5.2,23.1,,,integrated
5347,NLA06608-0007,9/6/2007,14,4.8,2.4,5.1,22.3,,,integrated
5347,NLA06608-0007,9/6/2007,15,4.8,1.6,5.2,22.4,,,integrated
5347,NLA06608-0007,9/6/2007,16,4.7,1.3,5.2,22.6,,,integrated
5347,NLA06608-0007,9/6/2007,17,4.7,1.1,5.2,22.7,,,integrated
5347,NLA06608-0007,9/6/2007,18,4.7,0.9,5.2,22.7,,,integrated
5347,NLA06608-0007,9/6/2007,18.5,4.7,0.8,5.2,22.9,,,integrated
4351,NLA06608-0008,7/12/2007,0,27.3,6.6,8.7,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,7/12/2007,1,27.3,6.2,8.7,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,7/12/2007,2,27.2,5.8,8.7,NA,,,integrated
4351,NLA06608-0008,7/12/2007,3,24.5,0.2,7.4,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,7/12/2007,4,20.9,0.1,7.4,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,7/12/2007,4.8,18,0.1,7.4,NA,,,integrated
4351,NLA06608-0008,8/22/2007,0,28.8,7.5,9.4,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,8/22/2007,1,28.7,7.4,9.4,NA,,,integrated
4351,NLA06608-0008,8/22/2007,2,27.3,1.5,8.2,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,8/22/2007,3,26.3,0.5,7.8,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,8/22/2007,4,22,0.2,7.1,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
4351,NLA06608-0008,8/22/2007,5,18.3,0.1,7,NA,,,integrated
93810,NLA06608-0010,7/17/2007,0,23.8,10,8.4,626,,,integrated
93810,NLA06608-0010,7/17/2007,1,23.8,9.9,8.4,626,,,integrated
93810,NLA06608-0010,7/17/2007,2,23.8,9.9,8.4,626,,,integrated
93810,NLA06608-0010,7/17/2007,3,23.8,9.8,8.4,626,,,integrated
93810,NLA06608-0010,7/17/2007,4,23.6,9.4,8.3,626,,,integrated
93810,NLA06608-0010,7/17/2007,5,23.2,8.5,8.2,631,,,integrated
93810,NLA06608-0010,7/17/2007,6,21.8,8.6,8.1,658,,,integrated
93810,NLA06608-0010,7/17/2007,7,16.3,4,7.5,714,,,integrated
93810,NLA06608-0010,7/17/2007,8,14.5,1.3,7.4,718,,,integrated
93810,NLA06608-0010,7/17/2007,9,10.9,0.4,7.2,715,,,integrated
93810,NLA06608-0010,7/17/2007,10,9.5,0.3,7.1,713,,,integrated
93810,NLA06608-0010,7/17/2007,11,8.8,0.2,7.1,723,,,integrated
93810,NLA06608-0010,7/17/2007,11.8,8.6,0.2,7,728,,,integrated
93810,NLA06608-0010,8/18/2007,0,24.7,8.8,8.5,610,,,integrated
93810,NLA06608-0010,8/18/2007,1,24.7,8.9,8.5,613,,,integrated
93810,NLA06608-0010,8/18/2007,2,24.6,9.1,8.5,613,,,integrated
93810,NLA06608-0010,8/18/2007,3,24.1,8.8,8.4,614,,,integrated
93810,NLA06608-0010,8/18/2007,4,23.8,8.6,8.3,614,,,integrated
93810,NLA06608-0010,8/18/2007,5,23.2,7.5,8.2,631,,,integrated
93810,NLA06608-0010,8/18/2007,6,20.8,1.3,7.9,694,,,integrated
93810,NLA06608-0010,8/18/2007,7,16.8,0.4,7.7,717,,,integrated
93810,NLA06608-0010,8/18/2007,8,12.3,0.4,7.7,733,,,integrated
93810,NLA06608-0010,8/18/2007,9,9.9,0.4,7.7,746,,,integrated
93810,NLA06608-0010,8/18/2007,10,9.2,0.4,7.5,759,,,integrated
93810,NLA06608-0010,8/18/2007,10.5,8.9,0.4,7.4,774,,,integrated
379117,NLA06608-0012,6/13/2007,0.1,26.77,5.46,7.47,196.2,,,integrated
379117,NLA06608-0012,6/13/2007,1,26.77,5.34,7.39,196.1,,,integrated
379117,NLA06608-0012,6/13/2007,2,26.61,5.21,7.35,196.7,,,integrated
379117,NLA06608-0012,6/13/2007,3,26.45,4.95,7.3,197,,,integrated
379117,NLA06608-0012,6/13/2007,3.5,25.93,3.7,7.21,203.2,,,integrated
379117,NLA06608-0012,9/18/2007,0.1,24.1,6.89,7.78,220.6,,,integrated
379117,NLA06608-0012,9/18/2007,1,24.11,6.85,7.78,221.3,,,integrated
379117,NLA06608-0012,9/18/2007,2,24.1,6.78,7.77,220.4,,,integrated
379117,NLA06608-0012,9/18/2007,3,24.09,6.74,7.77,220.6,,,integrated
379117,NLA06608-0012,9/18/2007,3.2,24.08,6.72,7.77,220.5,,,integrated
30086,NLA06608-0013,9/4/2007,0,27.3,NA,5.9,51.5,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
30086,NLA06608-0013,9/4/2007,0.5,26.5,NA,5.6,49.8,,,integrated
30086,NLA06608-0013,9/4/2007,1,25,NA,5.1,43,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
30086,NLA06608-0013,9/4/2007,1.5,23.9,NA,4.9,41.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
30086,NLA06608-0013,9/4/2007,1.8,22.8,NA,4.8,41.3,,,integrated
30086,NLA06608-0013,9/14/2007,0,22.6,NA,6.5,44.6,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
30086,NLA06608-0013,9/14/2007,0.5,22.7,NA,5.9,44.5,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
30086,NLA06608-0013,9/14/2007,1,22.7,NA,5.7,44.6,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
30086,NLA06608-0013,9/14/2007,1.5,22.7,NA,5.5,44.6,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
30086,NLA06608-0013,9/14/2007,1.8,22.6,NA,5.4,44.3,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID,integrated
313267,NLA06608-0014,8/6/2007,0,20.9,7.7,9.4,9080,,,integrated
313267,NLA06608-0014,8/6/2007,0.5,21.7,7.7,9.4,9080,,,integrated
313267,NLA06608-0014,8/6/2007,1,21.7,7.7,9.4,9080,,,integrated
313267,NLA06608-0014,8/6/2007,1.5,21.8,7.7,9.4,9080,,,integrated
313267,NLA06608-0014,8/6/2007,1.7,21.7,7.2,9.4,9080,,,integrated
313267,NLA06608-0014,8/23/2007,0,18.1,8.4,9.4,9052,,,integrated
313267,NLA06608-0014,8/23/2007,0.5,18.1,8.4,9.4,9053,,,integrated
313267,NLA06608-0014,8/23/2007,1,18.1,8.4,9.4,9052,,,integrated
313267,NLA06608-0014,8/23/2007,1.5,18.1,8.4,9.4,9054,,,integrated
313267,NLA06608-0014,8/23/2007,1.7,18.1,8.4,9.4,9051,,,integrated
447806,NLA06608-0015,7/10/2007,0,25.2,8.9,7.9,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,7/10/2007,1,23.6,7.1,7.9,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,7/10/2007,2,23.5,6.8,8,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,7/10/2007,3,23.5,6.9,8.1,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,7/10/2007,4,23.4,6.8,8.1,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,7/10/2007,5,23.2,6.5,8.1,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,7/10/2007,6,23.1,6.2,8,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,7/10/2007,6.5,23.1,6.1,8,NA,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID,integrated
447806,NLA06608-0015,8/29/2007,0,25.5,7.5,8.3,617,,,integrated
447806,NLA06608-0015,8/29/2007,1,25.5,7.5,8.3,617,,,integrated
447806,NLA06608-0015,8/29/2007,2,25.5,7.5,8.3,617,,,integrated
447806,NLA06608-0015,8/29/2007,3,25.5,7.5,8.3,617,,,integrated
447806,NLA06608-0015,8/29/2007,4,25.5,7.4,8.3,617,,,integrated
447806,NLA06608-0015,8/29/2007,5,25.4,6.3,8.3,618,,,integrated
447806,NLA06608-0015,8/29/2007,5.5,25.3,5.7,8,620,,,integrated
360013,NLA06608-0016,6/27/2007,0,23.5,7.1,8.2,1100,,,integrated
360013,NLA06608-0016,6/27/2007,1,23.5,7.1,8.3,1100,,,integrated
360013,NLA06608-0016,6/27/2007,2,23.6,7.2,8.4,1100,,,integrated
360013,NLA06608-0016,6/27/2007,3,23.6,7.2,8.3,1110,,,integrated
360013,NLA06608-0016,6/27/2007,4,23.6,7.4,8.3,1110,,,integrated
360013,NLA06608-0016,6/27/2007,5,23.6,6.8,8.3,1110,,,integrated
360013,NLA06608-0016,6/27/2007,6,23.6,6.8,8,1110,,,integrated
360013,NLA06608-0016,6/27/2007,6.2,23.6,6.8,8.1,1090,,,integrated
360013,NLA06608-0016,7/11/2007,0,24,7.7,8.2,1046.5,,,integrated
360013,NLA06608-0016,7/11/2007,1,24,7.4,8.2,1046.5,,,integrated
360013,NLA06608-0016,7/11/2007,2,24,7.4,8.2,1046.5,,,integrated
360013,NLA06608-0016,7/11/2007,3,24,7.4,8.2,1046.5,,,integrated
360013,NLA06608-0016,7/11/2007,4,24,7.5,8.2,1046.5,,,integrated
360013,NLA06608-0016,7/11/2007,5,24,7.7,8.1,1056.2,,,integrated
360013,NLA06608-0016,7/11/2007,6,24,7.8,8.1,1056.2,,,integrated
360013,NLA06608-0016,7/11/2007,6.3,24,7.4,8.1,1056.2,,,integrated
339915,NLA06608-0019,6/11/2007,0,22.9,7.4,8.38,3373,,,integrated
339915,NLA06608-0019,6/11/2007,0.5,22.9,2.1,8.38,3373,,,integrated
339915,NLA06608-0019,8/7/2007,0,21.8,7.3,9.04,2690,,,integrated
339915,NLA06608-0019,8/7/2007,0.5,21,6.1,9.04,3696,,,integrated
339915,NLA06608-0019,8/7/2007,0.9,20.9,0.74,9.01,2990,,,integrated
7005,NLA06608-0020,6/11/2007,0,25.2,8.6,8,214,,,integrated
7005,NLA06608-0020,6/11/2007,1,25.2,8.6,8,214,,,integrated
7005,NLA06608-0020,6/11/2007,2,24.7,8.3,8,214,,,integrated
7005,NLA06608-0020,6/11/2007,3,24.5,7.7,8,214,,,integrated
7005,NLA06608-0020,6/11/2007,4,22.8,3.6,7.2,216,,,integrated
7005,NLA06608-0020,6/11/2007,5,18.4,0.3,6.8,214,,,integrated
7005,NLA06608-0020,6/11/2007,6,14,0.3,6.5,209,,,integrated
7005,NLA06608-0020,6/11/2007,7,11.3,0.3,6.4,207,,,integrated
7005,NLA06608-0020,6/11/2007,8,10.3,0.3,6.3,206,,,integrated
7005,NLA06608-0020,6/11/2007,9,9.6,0.3,6.3,206,,,integrated
7005,NLA06608-0020,6/11/2007,10,9.3,0,6.3,207,,,integrated
7005,NLA06608-0020,6/11/2007,11,9,0,6.4,204,,,integrated
7005,NLA06608-0020,6/11/2007,12,8.8,0,6.4,205,,,integrated
7005,NLA06608-0020,6/11/2007,13,8.7,0,6.4,208,,,integrated
7005,NLA06608-0020,6/11/2007,14,8.4,0,6.6,220,,,integrated
7005,NLA06608-0020,7/2/2007,0,27,7.4,8.5,215,,,integrated
7005,NLA06608-0020,7/2/2007,1,27,7.5,8.1,215,,,integrated
7005,NLA06608-0020,7/2/2007,2,26.6,7.6,8.2,214,,,integrated
7005,NLA06608-0020,7/2/2007,3,26.4,7.5,8.1,214,,,integrated
7005,NLA06608-0020,7/2/2007,4,25.4,4.3,7.7,215,,,integrated
7005,NLA06608-0020,7/2/2007,5,19.4,0.9,7.2,219,,,integrated
7005,NLA06608-0020,7/2/2007,6,16.2,0.3,7.3,215,,,integrated
7005,NLA06608-0020,7/2/2007,7,13,0,7.3,212,,,integrated
7005,NLA06608-0020,7/2/2007,8,10.8,0,7.1,211,,,integrated
7005,NLA06608-0020,7/2/2007,9,10,0,7,210,,,integrated
7005,NLA06608-0020,7/2/2007,10,9.5,0,7,208,,,integrated
7005,NLA06608-0020,7/2/2007,11,9.3,0,6.9,210,,,integrated
7005,NLA06608-0020,7/2/2007,12,9,0,6.8,211,,,integrated
7005,NLA06608-0020,7/2/2007,13,8.8,0,6.8,212,,,integrated
44035,NLA06608-0021,7/27/2007,0,27.78,8.92,7.96,369,,,integrated
44035,NLA06608-0021,7/27/2007,1,22.8,8.78,7.9,369,,,integrated
44035,NLA06608-0021,7/27/2007,2,22.8,8.7,7.9,369,,,integrated
44035,NLA06608-0021,7/27/2007,3,22.8,8.7,7.9,369,,,integrated
44035,NLA06608-0021,7/27/2007,4,22.7,8.6,7.9,369,,,integrated
44035,NLA06608-0021,7/27/2007,5,22.7,8.6,7.9,371,,,integrated
44035,NLA06608-0021,7/27/2007,6,22.7,8.6,7.9,372,,,integrated
44035,NLA06608-0021,7/27/2007,7,22.6,8.6,7.9,372,,,integrated
44035,NLA06608-0021,7/27/2007,8,22.6,8.7,7.9,372,,,integrated
44035,NLA06608-0021,7/27/2007,9,22.5,8.6,7.9,371,,,integrated
44035,NLA06608-0021,7/27/2007,10,19.3,8.9,7.7,368,,,integrated
44035,NLA06608-0021,7/27/2007,11,14.4,11,7.5,372,,,integrated
44035,NLA06608-0021,7/27/2007,12,11.9,11.5,7.4,371,,,integrated
44035,NLA06608-0021,7/27/2007,13,10.9,11.7,7.2,371,,,integrated
44035,NLA06608-0021,7/27/2007,14,10,11.7,7.1,371,,,integrated
44035,NLA06608-0021,7/27/2007,15,9.3,11.4,7,370,,,integrated
44035,NLA06608-0021,7/27/2007,16,8.8,11.6,7,370,,,integrated
44035,NLA06608-0021,7/27/2007,17,8.1,11.6,6.9,371,,,integrated
44035,NLA06608-0021,7/27/2007,18,7.9,11.6,6.8,370,,,integrated
44035,NLA06608-0021,7/27/2007,19,7.7,11.4,6.8,370,,,integrated
44035,NLA06608-0021,7/27/2007,20,7.2,11.6,6.7,371,,,integrated
44035,NLA06608-0021,7/27/2007,22,6.4,11.4,6.6,371,,,integrated
44035,NLA06608-0021,7/27/2007,24,6.1,11.4,6.6,370,,,integrated
44035,NLA06608-0021,7/27/2007,26,5.6,11.2,6.6,371,F1,"F1=END OF CABLE REACHED, SITE DEPTH=53 m",integrated
44035,NLA06608-0021,8/30/2007,0,23.5,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,1,23.5,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,2,23.5,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,3,23.5,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,4,23,8.4,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,5,22.9,8.3,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,6,22.6,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,7,22.5,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,8,22.2,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,9,22.1,8.2,7.9,NA,K,,integrated
44035,NLA06608-0021,8/30/2007,10,22,8.1,7.9,NA,K,,integrated
