lagoslakeid,source_sample_siteid,sample_date,sample_depth_m,temp_degc,do_mgl,ph,spcond_uscm,source_value_qualifiercode,source_comments,profile
85539,NLA12_MD-103,19-Jul-12,0,25.4,7.7,7.3,618,NA,NA,integrated
436104,NLA12_TX-182,19-Jul-12,3.9,27.8,1.6,8.1,326,NA,NA,integrated
436104,NLA12_TX-182,19-Jul-12,3,28.5,7.4,9.1,313,NA,NA,integrated
436104,NLA12_TX-182,19-Jul-12,0,28.6,7.9,9.2,315,NA,NA,integrated
436104,NLA12_TX-182,19-Jul-12,2,28.5,7.5,9.1,313,NA,NA,integrated
436104,NLA12_TX-182,19-Jul-12,0,28.6,7.5,9.2,312,NA,NA,integrated
436104,NLA12_TX-182,19-Jul-12,1,28.6,7.7,9.1,313,NA,NA,integrated
8335,NLA12_RI-111,19-Jul-12,3.8,22.3,0.02,6.38,452,NA,NA,integrated
8335,NLA12_RI-111,19-Jul-12,1,27.8,9.05,7.48,391.2,NA,NA,integrated
8335,NLA12_RI-111,19-Jul-12,3,24.4,4.83,6.34,418.2,NA,NA,integrated
8335,NLA12_RI-111,19-Jul-12,2,27.8,9.27,7.44,391.3,NA,NA,integrated
8335,NLA12_RI-111,19-Jul-12,0,27.8,9.14,7.51,391.1,NA,NA,integrated
457492,NLA12_NV-144,19-Jul-12,0.5,14.7,NA,8.9,317,NA,NA,integrated
457492,NLA12_NV-144,19-Jul-12,0,14.7,NA,8.7,317,NA,NA,integrated
457492,NLA12_NV-144,19-Jul-12,0,14.7,NA,9.1,317,NA,NA,integrated
457492,NLA12_NV-144,19-Jul-12,1.2,14.7,NA,9.1,315,NA,NA,integrated
168112,NLA12_GA-102,19-Jul-12,0.8,28.39,1.59,5.36,79.9,NA,NA,integrated
168112,NLA12_GA-102,19-Jul-12,0,28.51,3.2,5.31,79.2,NA,NA,integrated
168112,NLA12_GA-102,19-Jul-12,0,28.51,3.23,5.31,79.1,NA,NA,integrated
168112,NLA12_GA-102,19-Jul-12,0.4,28.4,2.56,5.29,79.1,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,9,8.2,6.2,6.42,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,11,7.7,5.8,6.41,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,4,17.8,11,7.11,46,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,8,8.9,5.2,6.38,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,5,14.2,7,6.45,46,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,7,9.9,5.6,6.39,54,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,0,26.9,7.5,NA,NA,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,12,7.2,6,6.42,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,16,6.3,5.8,6.37,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,6,11.5,5.3,6.35,38,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,15,6.4,5.7,6.37,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,3,23.1,9.4,7.29,50,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,10,7.9,5.9,6.41,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,0,26.7,7.8,7.35,53,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,18,6,5,6.35,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,1,26.6,7.9,7.34,53,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,2,26.5,7.8,7.31,53,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,22,5.8,2.3,6.29,58,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,13,6.9,5.8,6.4,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,14,6.7,6,6.4,56,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,19,6,4.7,6.34,57,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,20,5.9,4.2,6.33,57,NA,NA,integrated
8397,NLA12_ME-114,18-Jul-12,17,6.1,5.3,6.37,56,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,14,15.2,8.3,8,284,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,1,21.3,8,8.1,282,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,4,20.9,8,8.1,283,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,16,15.2,8.4,8,284,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,15,15.2,8.3,8,284,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,2,21.2,8,8.1,283,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,3,21.1,8,8.1,283,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,0,21.4,8,8.4,282,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,13,15.8,8.5,8,282,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,0,21.3,8,8.1,282,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,11,16,8.6,7.9,282,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,7,17.6,9.4,8,276,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,5,20,8.4,8.1,281,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,8,16.9,9.4,8,278,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,9,16.2,9.3,7.9,280,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,6,19.4,8.7,8.1,278,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,12,15.7,8.5,7.9,282,NA,NA,integrated
318808,NLA12_MT-106,20-Jul-12,10,16,8.9,7.9,283,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,15,5.1,7.4,7.4,11,NA,NA,integrated
