State,CharacteristicName,n
DE,"Solids, total suspended",NA
DE,"Sulfate, dissolved",497
DE,Turbidity,3772
FL,Alkalinity,66242
FL,"Aluminum, dissolved",2663
FL,"Aluminum, total",20693
FL,ANC,NA
FL,"Arsenic, dissolved",1611
FL,"Arsenic, total",20186
FL,"Atrazine, dissolved",7
FL,"Calcium, dissolved",12622
FL,"Carbon, dissolved organic",850
FL,"Carbon, total inorganic",330
FL,"Carbon, total organic",34335
FL,"Chloride, dissolved",23706
FL,Chlorophyll a,293870
FL,"Color, apparent",8279
FL,"Color, true",77178
FL,Conductivity,187870
FL,Depth,112588
FL,E. coli,2397
FL,E. coli-CFU,825
FL,E. coli-MPN,3124
FL,"Magnesium, dissolved",12069
FL,"Mercury, dissolved",1
FL,"Mercury, total",2065
FL,"Methylmercury, dissolved",NA
FL,Microcystin,132
FL,"Nitrogen, NH4",23589
FL,"Nitrogen, nitrite (NO2)",7129
FL,"Nitrogen, nitrite (NO2) + nitrate (NO3)",20753
FL,"Nitrogen, total",4534
FL,"Nitrogen, total dissolved",27
FL,"Nitrogen, total dissolved Kjeldahl",9939
FL,"Nitrogen, total Kjeldahl",92564
FL,"Oxygen, dissolved",185868
FL,"pH, equilibrated",188485
FL,"Phosphorus, soluable reactive orthophosphate",45887
FL,"Phosphorus, total",53265
FL,"Phosphorus, total dissolved",NA
FL,Potassium,40492
FL,Salinity,55986
FL,Secchi,255967
FL,"Selenium, dissolved",1546
FL,"Selenium, total",17208
FL,"Silica, dissolved",12640
FL,Sodium,41436
FL,"Solids, total suspended",78120
FL,"Sulfate, dissolved",6000
FL,Turbidity,95001
GA,Alkalinity,10363
GA,"Aluminum, dissolved",3
GA,"Aluminum, total",4
GA,ANC,NA
GA,"Arsenic, dissolved",2
GA,"Arsenic, total",9
GA,"Atrazine, dissolved",NA
GA,"Calcium, dissolved",73
GA,"Carbon, dissolved organic",454
GA,"Carbon, total inorganic",NA
GA,"Carbon, total organic",9958
GA,"Chloride, dissolved",90
GA,Chlorophyll a,7394
GA,"Color, apparent",NA
GA,"Color, true",486
GA,Conductivity,111742
GA,Depth,939
GA,E. coli,103
GA,E. coli-CFU,2
GA,E. coli-MPN,486
GA,"Magnesium, dissolved",93
GA,"Mercury, dissolved",NA
GA,"Mercury, total",11
