State,CharacteristicName,n
TN,"Silica, dissolved",7
TN,Sodium,2341
TN,"Solids, total suspended",4803
TN,"Sulfate, dissolved",7
TN,Turbidity,2523
TX,Alkalinity,15328
TX,"Aluminum, dissolved",151
TX,"Aluminum, total",5
TX,ANC,NA
TX,"Arsenic, dissolved",920
TX,"Arsenic, total",294
TX,"Atrazine, dissolved",725
TX,"Calcium, dissolved",14633
TX,"Carbon, dissolved organic",769
TX,"Carbon, total inorganic",18
TX,"Carbon, total organic",2498
TX,"Chloride, dissolved",14529
TX,Chlorophyll a,3508
TX,"Color, apparent",11
TX,"Color, true",842
TX,Conductivity,157729
TX,Depth,6411
TX,E. coli,6
TX,E. coli-CFU,107
TX,E. coli-MPN,283
TX,"Magnesium, dissolved",14669
TX,"Mercury, dissolved",222
TX,"Mercury, total",10
TX,"Methylmercury, dissolved",NA
TX,Microcystin,75
TX,"Nitrogen, NH4",7163
TX,"Nitrogen, nitrite (NO2)",5602
TX,"Nitrogen, nitrite (NO2) + nitrate (NO3)",6186
TX,"Nitrogen, total",6265
TX,"Nitrogen, total dissolved",464
TX,"Nitrogen, total dissolved Kjeldahl",4824
TX,"Nitrogen, total Kjeldahl",10588
TX,"Oxygen, dissolved",143443
TX,"pH, equilibrated",157077
TX,"Phosphorus, soluable reactive orthophosphate",8445
TX,"Phosphorus, total",20734
TX,"Phosphorus, total dissolved",NA
TX,Potassium,14551
TX,Salinity,88
TX,Secchi,19189
TX,"Selenium, dissolved",297
TX,"Selenium, total",260
TX,"Silica, dissolved",14478
TX,Sodium,14873
TX,"Solids, total suspended",313
TX,"Sulfate, dissolved",14580
TX,Turbidity,1743
UT,Alkalinity,351
UT,"Aluminum, dissolved",727
UT,"Aluminum, total",252
UT,ANC,NA
UT,"Arsenic, dissolved",2784
UT,"Arsenic, total",725
UT,"Atrazine, dissolved",NA
UT,"Calcium, dissolved",13400
UT,"Carbon, dissolved organic",140
UT,"Carbon, total inorganic",NA
UT,"Carbon, total organic",4891
UT,"Chloride, dissolved",6156
UT,Chlorophyll a,9755
UT,"Color, apparent",NA
UT,"Color, true",19
UT,Conductivity,130267
UT,Depth,4615
UT,E. coli,808
UT,E. coli-CFU,NA
UT,E. coli-MPN,NA
UT,"Magnesium, dissolved",12910
UT,"Mercury, dissolved",197
UT,"Mercury, total",264
UT,"Methylmercury, dissolved",51
UT,Microcystin,NA
UT,"Nitrogen, NH4",1296
UT,"Nitrogen, nitrite (NO2)",259
UT,"Nitrogen, nitrite (NO2) + nitrate (NO3)",5447
UT,"Nitrogen, total",2568
UT,"Nitrogen, total dissolved",5145
UT,"Nitrogen, total dissolved Kjeldahl",84
UT,"Nitrogen, total Kjeldahl",6797
UT,"Oxygen, dissolved",108385
UT,"pH, equilibrated",128471
UT,"Phosphorus, soluable reactive orthophosphate",14631
UT,"Phosphorus, total",20542
UT,"Phosphorus, total dissolved",NA
UT,Potassium,9897
UT,Salinity,8386
UT,Secchi,29069
UT,"Selenium, dissolved",1255
UT,"Selenium, total",276
UT,"Silica, dissolved",2284
UT,Sodium,11149
UT,"Solids, total suspended",5282
UT,"Sulfate, dissolved",5936
UT,Turbidity,19613
VA,Alkalinity,1241
VA,"Aluminum, dissolved",73
VA,"Aluminum, total",56
VA,ANC,NA
VA,"Arsenic, dissolved",70
VA,"Arsenic, total",83
VA,"Atrazine, dissolved",7
VA,"Calcium, dissolved",255
VA,"Carbon, dissolved organic",121
VA,"Carbon, total inorganic",NA
VA,"Carbon, total organic",484
VA,"Chloride, dissolved",503
VA,Chlorophyll a,18982
VA,"Color, apparent",NA
VA,"Color, true",166
VA,Conductivity,67775
VA,Depth,62
VA,E. coli,NA
VA,E. coli-CFU,5602
VA,E. coli-MPN,3113
VA,"Magnesium, dissolved",255
VA,"Mercury, dissolved",50
VA,"Mercury, total",86
VA,"Methylmercury, dissolved",NA
VA,Microcystin,NA
VA,"Nitrogen, NH4",1298
VA,"Nitrogen, nitrite (NO2)",70
VA,"Nitrogen, nitrite (NO2) + nitrate (NO3)",715
VA,"Nitrogen, total",10405
VA,"Nitrogen, total dissolved",125
VA,"Nitrogen, total dissolved Kjeldahl",118
VA,"Nitrogen, total Kjeldahl",3071
VA,"Oxygen, dissolved",79052
VA,"pH, equilibrated",70292
VA,"Phosphorus, soluable reactive orthophosphate",1069
VA,"Phosphorus, total",13638
VA,"Phosphorus, total dissolved",NA
VA,Potassium,287
VA,Salinity,1435
VA,Secchi,10324
VA,"Selenium, dissolved",70
VA,"Selenium, total",56
VA,"Silica, dissolved",634
VA,Sodium,273
VA,"Solids, total suspended",1677
VA,"Sulfate, dissolved",227
VA,Turbidity,1212
VT,Alkalinity,1
VT,"Aluminum, dissolved",NA
VT,"Aluminum, total",NA
VT,ANC,NA
VT,"Arsenic, dissolved",NA
VT,"Arsenic, total",NA
VT,"Atrazine, dissolved",1
VT,"Calcium, dissolved",1
VT,"Carbon, dissolved organic",1
VT,"Carbon, total inorganic",NA
VT,"Carbon, total organic",NA
VT,"Chloride, dissolved",1
VT,Chlorophyll a,NA
VT,"Color, apparent",NA
VT,"Color, true",NA
VT,Conductivity,25
VT,Depth,NA
VT,E. coli,NA
VT,E. coli-CFU,NA
VT,E. coli-MPN,NA
VT,"Magnesium, dissolved",1
VT,"Mercury, dissolved",NA
VT,"Mercury, total",NA
VT,"Methylmercury, dissolved",NA
VT,Microcystin,NA
VT,"Nitrogen, NH4",16
VT,"Nitrogen, nitrite (NO2)",24
VT,"Nitrogen, nitrite (NO2) + nitrate (NO3)",37
VT,"Nitrogen, total",NA
VT,"Nitrogen, total dissolved",12
VT,"Nitrogen, total dissolved Kjeldahl",17
VT,"Nitrogen, total Kjeldahl",NA
VT,"Oxygen, dissolved",14
VT,"pH, equilibrated",24
VT,"Phosphorus, soluable reactive orthophosphate",42
VT,"Phosphorus, total",16
VT,"Phosphorus, total dissolved",NA
VT,Potassium,1
VT,Salinity,NA
VT,Secchi,1053
VT,"Selenium, dissolved",NA
VT,"Selenium, total",NA
VT,"Silica, dissolved",1
VT,Sodium,1
VT,"Solids, total suspended",NA
VT,"Sulfate, dissolved",1
VT,Turbidity,NA
WA,Alkalinity,1226
WA,"Aluminum, dissolved",112
WA,"Aluminum, total",99
WA,ANC,NA
WA,"Arsenic, dissolved",127
WA,"Arsenic, total",136
WA,"Atrazine, dissolved",NA
WA,"Calcium, dissolved",890
WA,"Carbon, dissolved organic",67
WA,"Carbon, total inorganic",2
WA,"Carbon, total organic",576
WA,"Chloride, dissolved",737
WA,Chlorophyll a,906
WA,"Color, apparent",NA
WA,"Color, true",294
WA,Conductivity,30540
WA,Depth,308
WA,E. coli,270
WA,E. coli-CFU,NA
WA,E. coli-MPN,4
WA,"Magnesium, dissolved",868
WA,"Mercury, dissolved",107
WA,"Mercury, total",139
WA,"Methylmercury, dissolved",NA
WA,Microcystin,NA
WA,"Nitrogen, NH4",324
WA,"Nitrogen, nitrite (NO2)",230
WA,"Nitrogen, nitrite (NO2) + nitrate (NO3)",746
WA,"Nitrogen, total",1708
WA,"Nitrogen, total dissolved",309
WA,"Nitrogen, total dissolved Kjeldahl",7
WA,"Nitrogen, total Kjeldahl",2283
WA,"Oxygen, dissolved",30751
WA,"pH, equilibrated",31366
WA,"Phosphorus, soluable reactive orthophosphate",2768
WA,"Phosphorus, total",3459
WA,"Phosphorus, total dissolved",NA
WA,Potassium,874
WA,Salinity,14137
WA,Secchi,831
WA,"Selenium, dissolved",114
WA,"Selenium, total",189
WA,"Silica, dissolved",1040
WA,Sodium,924
WA,"Solids, total suspended",704
WA,"Sulfate, dissolved",756
WA,Turbidity,16321
WI,Alkalinity,NA
WI,"Aluminum, dissolved",NA
WI,"Aluminum, total",NA
WI,ANC,NA
WI,"Arsenic, dissolved",NA
WI,"Arsenic, total",NA
WI,"Atrazine, dissolved",NA
WI,"Calcium, dissolved",NA
WI,"Carbon, dissolved organic",NA
WI,"Carbon, total inorganic",NA
WI,"Carbon, total organic",NA
WI,"Chloride, dissolved",NA
WI,Chlorophyll a,NA
WI,"Color, apparent",NA
WI,"Color, true",NA
WI,Conductivity,1
WI,Depth,NA
WI,E. coli,NA
WI,E. coli-CFU,NA
WI,E. coli-MPN,NA
WI,"Magnesium, dissolved",NA
WI,"Mercury, dissolved",NA
WI,"Mercury, total",NA
WI,"Methylmercury, dissolved",NA
WI,Microcystin,NA
WI,"Nitrogen, NH4",NA
WI,"Nitrogen, nitrite (NO2)",NA
WI,"Nitrogen, nitrite (NO2) + nitrate (NO3)",NA
WI,"Nitrogen, total",NA
WI,"Nitrogen, total dissolved",NA
WI,"Nitrogen, total dissolved Kjeldahl",NA
WI,"Nitrogen, total Kjeldahl",1
WI,"Oxygen, dissolved",1
WI,"pH, equilibrated",1
WI,"Phosphorus, soluable reactive orthophosphate",1
WI,"Phosphorus, total",1
WI,"Phosphorus, total dissolved",NA
WI,Potassium,NA
WI,Salinity,NA
WI,Secchi,1
WI,"Selenium, dissolved",NA
WI,"Selenium, total",NA
WI,"Silica, dissolved",NA
WI,Sodium,NA
WI,"Solids, total suspended",NA
WI,"Sulfate, dissolved",NA
WI,Turbidity,NA
WY,Alkalinity,649
WY,"Aluminum, dissolved",13
WY,"Aluminum, total",5
WY,ANC,7
WY,"Arsenic, dissolved",43
WY,"Arsenic, total",87
WY,"Atrazine, dissolved",NA
WY,"Calcium, dissolved",401
WY,"Carbon, dissolved organic",30
WY,"Carbon, total inorganic",NA
WY,"Carbon, total organic",356
WY,"Chloride, dissolved",324
WY,Chlorophyll a,409
WY,"Color, apparent",NA
WY,"Color, true",252
WY,Conductivity,7692
WY,Depth,145
WY,E. coli,10
WY,E. coli-CFU,NA
WY,E. coli-MPN,NA
WY,"Magnesium, dissolved",402
WY,"Mercury, dissolved",8
WY,"Mercury, total",9
WY,"Methylmercury, dissolved",2
WY,Microcystin,NA
WY,"Nitrogen, NH4",96
WY,"Nitrogen, nitrite (NO2)",2
WY,"Nitrogen, nitrite (NO2) + nitrate (NO3)",415
WY,"Nitrogen, total",122
WY,"Nitrogen, total dissolved",166
WY,"Nitrogen, total dissolved Kjeldahl",33
WY,"Nitrogen, total Kjeldahl",409
WY,"Oxygen, dissolved",3721
WY,"pH, equilibrated",7405
WY,"Phosphorus, soluable reactive orthophosphate",952
WY,"Phosphorus, total",800
WY,"Phosphorus, total dissolved",NA
WY,Potassium,652
WY,Salinity,28
WY,Secchi,1121
WY,"Selenium, dissolved",57
WY,"Selenium, total",160
WY,"Silica, dissolved",493
WY,Sodium,672
WY,"Solids, total suspended",147
WY,"Sulfate, dissolved",326
WY,Turbidity,1273
