SITE_ID,sampledate,LAT_DD,LON_DD,Alkalinity,"Carbon, dissolved organic",Chlorophyll a,Conductivity,"Nitrogen, total","Phosphorus, total",Turbidity,"Aluminum, dissolved","Calcium, dissolved","Chloride, dissolved","Color, true","Magnesium, dissolved",Microcystin,"Nitrogen, NH4","Nitrogen, nitrite (NO2)","Nitrogen, nitrite (NO2) + nitrate (NO3)","pH, field or closed",Potassium,"Silica, dissolved",Sodium,"Sulfate, dissolved","Solids, total suspended","Carbon, total organic","Atrazine, dissolved","Nitrogen, total Kjeldahl"
NLA06608-0064,2007-08-26,48.8940613,-112.1680165,9261,37.23,13.79,3009,3663,1331,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0065,2007-07-17,48.96243381,-115.116608,1944.4,1.28,0.57,194,71,1,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0065,2007-09-12,48.96243381,-115.116608,2100,1.42,0.9,211,55,3,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0066,2007-06-12,39.76851425,-79.38081778,257.9,1.63,1.75,115,665,7,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0066,2007-09-18,39.76851425,-79.38081778,323.8,1.91,6.6,127,574,6,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0068,2007-07-09,37.82447614,-107.8853911,675.7,1.12,0.95,190,168,1,0.887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0068,2007-09-12,37.82447614,-107.8853911,760.9,0.67,0.46,231,131,1,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0069,2007-07-18,28.63735951,-81.13759704,141.8,13.24,7.41,146,420,39,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0069,2007-09-26,28.63735951,-81.13759704,89,17.27,4.11,131,771,45,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0071,2007-09-06,31.66683993,-91.50916933,2235.6,8.15,198.72,242,2441,415,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0071,2007-09-08,31.66683993,-91.50916933,2247.1,8.19,200.16,248,2268,390,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0072,2007-07-26,32.23766222,-98.40515204,1905.8,9.18,10.13,224,1724,174,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0072,2007-08-15,32.23766222,-98.40515204,1692.7,9.34,146.88,218,2265,176,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0073,2007-06-12,39.52477029,-118.878391,68472.2,22.25,0.49,26620,1055,4679,0.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0073,2007-07-18,39.52477029,-118.878391,67635.7,18.7,2.18,26820,1750,4865,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
