uid,laboratoryName,startDate,endDate,analyte,instrument,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"14d03a09-c761-4f4d-95bd-f0f85ea0ab7c","EcoCore_CSU","2020-02-07","2020-02-07","TSS","oven, balance","EPA 160.2",,0.100,"milligramsPerLiter",4.200,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"5f4abb31-4f73-4a6c-baff-a325a637de73","EcoCore_CSU","2020-02-07","2020-02-07","Na","Perkin Elmer Optima 7300 DV ICP","EPA 200.5",,0.001,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"d7c6cd91-637c-4564-afba-992ae727439f","EcoCore_CSU","2020-02-07","2020-02-07","ANC","Mettler Toledo Compact Titrator G20","EPA 200.5",,0.010,"milliequivalentsPerLiter",4.300,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"1c450da1-f7be-4de2-b4ae-80998cdb2029","EcoCore_CSU","2020-02-07","2020-02-07","TN","Shimadzu toc-L","combustion/chemoluminesence",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
"bf1110b3-0352-4afe-a606-2ee1a5c5f8d9","EcoCore_CSU","2020-02-07","2020-02-07","TDS","oven, balance","EPA 160.1",,0.100,"milligramsPerLiter",4.200,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"6c4553d4-5bfe-4ddd-987c-9addac1f891b","EcoCore_CSU","2020-02-07","2020-02-07","NH4 - N","OI Analytical 3700 Automated Chemistry Analyzer","Salicylate/nitroferricyanide (DIN 38406)",,0.020,"milligramsPerLiter",0.078,"Standard deviation of nominal value",,0.382,"95% CI of combined uncertainty","EcoCore, Colorado State University","2017-11-27","2019-07-03"
"4da2e309-619a-4255-bd29-15da177f6de0","EcoCore_CSU","2020-02-07","2020-02-07","NO2 - N","OI Analytical 3700 Automated Chemistry Analyzer","Sulfanilamide (EPA 353.2)",,0.000,"milligramsPerLiter",0.066,"Standard deviation of nominal value",,0.197,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-07-03",
"4d97e4c2-1640-4ae8-b5d4-2528304d54fe","EcoCore_CSU","2020-02-07","2020-02-07","DIC","Shimadzu toc-L","Combustion/NDIR",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2017-02-09"
"97bb0406-a969-43b4-b602-ab812eace325","EcoCore_CSU","2020-02-07","2020-02-07","Ortho - P","OI flow solution IV","ascorbic acid","50g Disodium EDTA to 1L buffer",0.020,"milligramsPerLiter",0.007,"Standard deviation of nominal value",,0.060,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-05-02","2018-06-07"
"529f747a-6be3-4a36-bee0-8517e4904f18","EcoCore_CSU","2020-02-07","2020-02-07","Ca","Perkin Elmer Optima 7300 DV ICP","EPA 200.5",,0.001,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06",
"337d4c84-6363-4a0f-b714-7ec8e55d9b37","EcoCore_CSU","2020-02-07","2020-02-07","UV Absorbance (254 nm)","Tecan Infinite M200","Absorbance",,,"absorbance units",1.000,"% of 1/1000 OD",,1.000,"% of 1/1000 OD","EcoCore, Colorado State University","2014-10-06",
"0dee23b9-4efa-4a75-8d25-cac6cb82e9de","EcoCore_CSU","2020-02-07","2020-02-07","TOC","Shimadzu toc-L","acidification/NDIR",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
"2401187b-9bdc-4178-adad-1cfd890a6a48","EcoCore_CSU","2020-02-07","2020-02-07","NH4 - N","OI Analytical 3700 Automated Chemistry Analyzer","Salicylate/nitroferricyanide (DIN 38406)",,0.004,"milligramsPerLiter",0.078,"Standard deviation of nominal value",,0.382,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-07-03",
