"SITE_ID","VISIT_NO","NAMES","lagoslakeid","INDEX_LAT","INDEX_LON"
"NLA06608-0268",1,"Okemah Lake; Okemah Lake;",389398,35.52349,-96.32333
"NLA06608-0271",1,"Lucys Pond; Lucys Pond;",3986,40.49015,-83.88977
"NLA06608-0275",1,"; Mud Lake;",339916,46.26878,-99.37969
"NLA06608-0276",1,"McReynolds Reservoir; McReynolds Reservoir;",376082,38.77967,-105.00489
"NLA06608-0277",1,"; Lake Walcott;",463477,42.67367,-113.41209
"NLA06608-0279",1,"; North Eagle;",328,44.20502,-93.89336
"NLA06608-0280",1,"; McElvaney Lake;",417841,32.08872,-95.89423
"NLA06608-0281",1,"Lake Fisher; Lake Fisher;",158905,35.49599,-80.57372
"NLA06608-0283",1,"; Lake Demopolis;",244053,32.53142,-87.85125
"NLA06608-0284",1,"; ;",396562,34.91516,-98.72829
"NLA06608-0285",1,"Records Pond; Records Pond;",148481,38.55812,-75.55843
"NLA06608-0286",1,"Silver Lake; Silver Lake;",72724,46.14884,-88.83236
"NLA06608-0290",1,"Junipers Reservoir; Junipers Reservoir;",476648,42.19868,-120.52393
"NLA06608-0290",2,"Junipers Reservoir; Junipers Reservoir;",476648,42.19625,-120.52402
"NLA06608-0291",1,"Green Lake; Green Lake;",5426,43.819722,-88.975
"NLA06608-0293",1,"; Lake Kenosia;",7340,41.383315,-73.501541
"NLA06608-0294",1,"Derby, Lake; Derby Lake;",NA,44.958889,-72.119167
"NLA06608-0295",1,"; Long Lake;",NA,45.1721,-97.63898
"NLA06608-0297",1,"; Boatwright Farm Pond;",164622,33.841,-81.67238
"NLA06608-0299",1,"Round Lake; Round Lake;",NA,41.462778,-85.248611
"NLA06608-0302",1,"; ;",NA,45.91772,-97.02486
"NLA06608-0303",1,"Holiday Lake; Holiday Lake;",138003,41.092,-82.7306
"NLA06608-0306",1,"; Moon Reservoir;",473314,43.42061,-119.41418
"NLA06608-0312",1,"; ;",371089,38.82255,-95.54702
"NLA06608-0313",1,"; City Lake;",159575,34.88565,-79.68986
"NLA06608-0318",1,"Lost Lake; Lost Lake;",NA,47.45884,-92.443056
"NLA06608-0319",1,"; Coneross Creek Reservoir;",166849,34.72389,-83.10901
"NLA06608-0324",1,"Lake Bonaventure; Lake Bonaventure;",272724,36.94411,-82.20327
"NLA06608-0325",1,"Lawne Lake; Lawne Lake;",188104,28.563462,-81.437692
"NLA06608-0326",1,"Groton Reservoir; Groton Reservoir;",7350,41.35785,-72.03902
"NLA06608-0327",1,"Thornburg Lake; Thornburg Lake;",297391,31.71572,-91.365556
"NLA06608-0328",1,"Cross Lake; Cross Lake;",406901,32.50449,-93.81393
"NLA06608-0328",2,"Cross Lake; Cross Lake;",406901,32.50397,-93.83525
"NLA06608-0330",1,"; Lake Besser;",70807,45.07174,-83.44798
"NLA06608-0332",1,"Tenkiller Ferry Lake; Tenkiller Ferry Lake;",392710,35.660854,-94.987591
"NLA06608-0333",1,"; Round Valley Reservoir;",22794,40.628333,-74.849722
