"CharacteristicName","ResultMeasure.MeasureUnitCode","Method_Id","ResultAnalyticalMethod.MethodName","DetectionQuantitationLimitMeasure.MeasureUnitCode","USGSPCode"
"Nitrate",,"USGS ALGOR","Computation by NWIS algorithm","mg/l as N",620
"Nitrate",,"USGS ALGOR","Computation by NWIS algorithm","mg/l as N",618
"Nitrate",,"USGS ALGOR","Computation by NWIS algorithm","mg/l asNO3",71851
"Inorganic nitrogen (nitrate and nitrite)",,"USGS CL081","NO2+NO3, wu, ASF Cd-reduct(NWQL)","mg/l as N",630
"Inorganic nitrogen (nitrate and nitrite)",,"USGS CL045","NO2+NO3, wf, Cd reduction ASF","mg/l as N",631
"Inorganic nitrogen (nitrate and nitrite)",,"NA NA",,"mg/l as N",630
"Inorganic nitrogen (nitrate and nitrite)",,"USGS CL048","Nutrients, wf, Cd reduct, color","mg/l as N",631
"Inorganic nitrogen (nitrate and nitrite)","mg/l","UTAHDWQ_WQX GENERIC METHOD2","Used for half of methods where historical methodology may not be available.","mg/l",
"Nitrate","ug/l","USEPA 300.0","Determination of Inorganic Anions by Ion Chromatography","ug/l",
"Inorganic nitrogen (nitrate and nitrite)",,"USGS CL049","NO2+NO3, LIS, Cd reduction ASF","mg/l as N",631
"Inorganic nitrogen (nitrate and nitrite)",,"NA NA",,"mg/l as N",631
"Inorganic nitrogen (nitrate and nitrite)",,"USEPA 353.2","Nitrate-Nitrite Nitrogen by Colorimetry","mg/l",
"Inorganic nitrogen (nitrate and nitrite)","mg/l","11NPSWRD_WQX USGS_CL048","Nutrients, Cd reduct, color","mg/l",
"Nitrate","mg/l","11NPSWRD_WQX USGS_UNSPEC","Unspecified USGS Lab Analytical Procedures at NWQL Following Standard Protocols","mg/l",
