CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Aluminum,ug/l,ug/l,USEPA 200.7,Metals in Water by ICP-AES,,1000000,1000000,
Aluminum,ug/l,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1000000,1000000,
Aluminum,ug/l,ug/l,USEPA 200.7(W),,,1000000,1000000,
Aluminum,ug/l,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,,1000000,1000000,
Aluminum,ug/l,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,,1000000,1000000,
Aluminum,ug/l,ug/l,USEPA 200.8(W),,,1000000,1000000,
Aluminum,ug/l,ug/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,-1000000,-1000000,
Aluminum,ug/l,ug/l,USGS GF110,"Al, wf, GFAAS (NY WSC; ALSC)",1106,-1000000,-1000000,Aluminum in filtered water by direct AAS
Aluminum,ug/l,ug/l,USGS PL127,"Elements, wf, ICP/OES (USGS-NYL)",1106,-1000000,-1000000,
Aluminum,ug/l,ug/l,USGS PLA13,"Metals, wf, suppliment, ICP-AES",1106,-1000000,-1000000,
Aluminum,ug/l,ug/l,USGS PLM43,"Metals, wf, ICP-MS",1106,-1000000,-1000000,
Aluminum,ug/l,,11NPSWRD_WQX NPS_LEGACY,Unspecified Standard Grab Sample Procedure,,-1000000,-1000000,
Aluminum,ug/l,,APHA 3113-B,3113 B ~ Metals in Water by GFAA,,1000000,1000000,
Aluminum,ug/l,,CEDEN 90,EPA 1638M,,-1000000,-1000000,
Aluminum,ug/l,,MNPCA LEG_P01106,"ALUMINUM, DISSOLVED (UG/L AS AL)",,-1000000,-1000000,
Aluminum,ug/l,,NA NA,,1106,-1000000,-1000000,
Aluminum,ug/l,,NA NA,,,-1000000,-1000000,
Aluminum,ug/l,,SPIRITLK I2477,I2477,,-1000000,-1000000,
Aluminum,ug/l,,TCEQMAIN N/A Calculation,N/A Calculation,,-1000000,-1000000,
