CharacteristicName,ResultMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,DetectionQuantitationLimitMeasure.MeasureUnitCode,USGSPCode
Arsenic,ug/l,USEPA 200.9,NA,ug/l,NA
Arsenic,ug/l,APHA 3114-C,NA,ug/l,NA
Arsenic,ug/l,USGS GF073,"Arsenic and selenium, wu, GFAA",NA,1002
Arsenic,ug/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,NA
Arsenic,mg/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,NA,NA
Arsenic,ug/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,ug/l,NA
Arsenic,ug/l,USGS PLM11,"Elements, wu, cICP-MS",ug/l,1002
Arsenic,ug/l,USGS GF096,"Arsenic, wu, GFAAS",NA,1002
Arsenic,ug/l,USGS GF096,"Arsenic, wu, GFAAS",ug/l,1002
Arsenic,ug/l,USEPA 200.15,Metals in Water by Nebulization and ICP-AES,NA,NA
Arsenic,ug/l,USGS PLM66,"Metals, wu,ICP-MS(200.8; CO WSC)",ug/l,1002
Arsenic,mg/l,USEPA 200.8,Metals in Waters by ICP/MS,mg/l,NA
Arsenic,mg/l,USEPA 206.2,NA,NA,NA
Arsenic,ug/l,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),NA,NA
Arsenic,ug/l,USEPA 200.7(W),NA,ug/l,NA
Arsenic,ug/l,USEPA 200.8(W),NA,ug/l,NA
Arsenic,ug/l,USEPA 206.2,NA,ug/l,NA
Arsenic,ug/l,USEPA 200.7,Metals in Water by ICP-AES,ug/l,NA
Arsenic,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,NA,NA
Arsenic,ug/l,21FLPBCH_WQX EPA 6010,EPA 6010 (180 day hold time),ug/l,NA
Arsenic,ug/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,ug/l,NA
Arsenic,mg/l,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,mg/l,NA
Arsenic,mg/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,mg/l,NA
Arsenic,mg/l,USEPA 200.7(W),NA,mg/l,NA
Arsenic,ug/l,APHA 3113-B,3113 B ~ Metals in Water by GFAA,ug/l,NA
Arsenic,mg/l,USEPA 200.7,Metals in Water by ICP-AES,mg/l,NA
Arsenic,mg/l,APHA 2540-D,2540 D ~ Total Suspended Solids in Water,mg/l,NA
Arsenic,mg/l,USEPA 200.8(W),NA,mg/l,NA
Arsenic,mg/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,mg/l,NA
Arsenic,mg/l,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,mg/l,NA
Arsenic,mg/l,21FLORAN EPA200.7,NA,mg/l,NA
Arsenic,ug/l,APHA 3125,Metals in Water by ICP/MS,ug/l,NA
Arsenic,mg/l,USEPA 6010B,NA,mg/l,NA
Arsenic,mg/l,NIOSH 6010,NA,mg/l,NA
Arsenic,ug/l,USGS 0,NA,NA,1002
Arsenic,ug/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,ug/l,NA
Arsenic,mg/l,USEPA 200.7(W),NA,NA,NA
Arsenic,ug/l,21FLWPB_WQX SM3500-AS.C,ARSENIC BY ICPMS,ug/l,NA
Arsenic,ug/l,21FLSFWM WQ-1,NA,NA,NA
Arsenic,ug/l,USGS GF044,"Arsenic, wu, GFAA",NA,1002
Arsenic,ug/l,21FLSFWM WQ-1,NA,ug/l,NA
Arsenic,mg/l,USEPA 6010A,NA,NA,NA
Arsenic,mg/l,USEPA 206.2,NA,mg/l,NA
Arsenic,mg/l,USEPA 200.7(S),NA,mg/l,NA
