CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Potassium,ug/l,ug/l,NA NA,,82034,0.001,0.001,USGS_82034
Potassium,ug/l,ug/l,USEPA 200.7,Metals in Water by ICP-AES,,0.001,0.001,EPA 200.7
Potassium,ug/l,ug/l,USEPA 200.8,Metals in Waters by ICP/MS,,0.001,0.001,EPA 200.8
Potassium,ug/l,ug/l,USEPA 215.2,Calcium by EDTA Titrimetric Analysis,,-1000000,-1000000,methods_fail
Potassium,ug/l,ug/l,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,0.001,0.001,EPA 6010-B
Potassium,ug/l,ug/l,USEPA 6010B,,,0.001,0.001,EPA 6010-B
Potassium,ug/l,ug/l,USEPA 6010C,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),,0.001,0.001,EPA 6010-C
Potassium,ug/l,,21ARIZ_WQX EPA 200.8,METALS,,0.001,0.001,EPA 200.8
Potassium,ug/l,,21DELAWQ_WQX 200.7_ELS,Inductively Coupled Plasma - Atomic Emission Spectrometry (ICP-AES),,0.001,0.001,EPA 200.7
Potassium,ug/l,,APHA 3113-B,3113 B ~ Metals in Water by GFAA,,0.001,0.001,APHA 3113-B
Potassium,ug/l,,INSTOR_WQX 200.7,200.7,,0.001,0.001,EPA 200.7
Potassium,ug/l,,NA NA,,91054,0.001,0.001,USGS_91054
Potassium,ug/l,,R10BUNKER IN-CLP-LOW,IN-CLP-LOW,,0.001,0.001,methods_unknown
Potassium,ug/l,,USEPA 200.15,Metals in Water by Nebulization and ICP-AES,,0.001,0.001,EPA 200.15
Potassium,ug/l,,USEPA 200.7,Metals in Water by ICP-AES,,0.001,0.001,EPA 200.7
Potassium,ug/l,,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,0.001,0.001,EPA 200.7
Potassium,ug/l,,USEPA 200.8,Metals in Waters by ICP/MS,,0.001,0.001,EPA 200.8
Potassium,ug/l,,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,0.001,0.001,EPA 6010-B
Potassium,ug/l,,USEPA 6010C,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),,0.001,0.001,EPA 6010-C
Potassium,ug/l,,USEPA 6020,Inductively Coupled Plasma - Mass Spec.,,0.001,0.001,EPA 6020
